performance_measure_label,performance_measure,benchmark_process_individual_in_subproperty_count
SceneFID,https://identifiers.org/ito#ITO_06007,5
Out of bound error,https://identifiers.org/ito#ITO_01583,5
Test error,https://identifiers.org/ito#ITO_17265,5
Milliseconds per frame,https://identifiers.org/ito#ITO_01596,5
GLEU,https://identifiers.org/ito#ITO_11127,5
Universal POS tag set,https://identifiers.org/ito#ITO_01534,4
Bits per sub-pixel,https://identifiers.org/ito#ITO_00085,4
Negative Jacobian determinant,https://identifiers.org/ito#ITO_01550,4
Coverage,https://identifiers.org/ito#ITO_00097,4
Volume similarity,https://identifiers.org/ito#ITO_01566,4
Semantic object accuracy,https://identifiers.org/ito#ITO_01576,4
Mean target overlap ratio,https://identifiers.org/ito#ITO_15853,4
ELO Rating,https://identifiers.org/ito#ITO_15930,4
Mean surface distance,https://identifiers.org/ito#ITO_01551,3
Mean corruption error,https://identifiers.org/ito#ITO_00048,3
Mean magnitude of the gradients of the determinant of the Jacobian,https://identifiers.org/ito#ITO_01548,3
Value of Information,https://identifiers.org/ito#ITO_00059,3
Sequence error,https://identifiers.org/ito#ITO_02402,3
Human-targeted translation error rate,https://identifiers.org/ito#ITO_01563,3
Rand index,https://identifiers.org/ito#ITO_01484,2
Reprojection error,https://identifiers.org/ito#ITO_00073,2
Underwater image quality measure,https://identifiers.org/ito#ITO_00053,2
Energy above hull,https://identifiers.org/ito#ITO_00083,2
Perceptual Evaluation of Speech Quality,https://identifiers.org/ito#ITO_00078,2
Precision at equal recall rate,https://identifiers.org/ito#ITO_00046,2
Three-pixel-error,https://identifiers.org/ito#ITO_00090,2
Interest,https://identifiers.org/ito#ITO_00092,2
Relevance,https://identifiers.org/ito#ITO_00093,2
RSim,https://identifiers.org/ito#ITO_00099,2
Visual surface similarity,https://identifiers.org/ito#ITO_00344,2
Detection score,https://identifiers.org/ito#ITO_01587,2
Frechet ResNet Distance,https://identifiers.org/ito#ITO_01593,2
Mean average distance,https://identifiers.org/ito#ITO_01597,2
Integrated root mean-square deviation,https://identifiers.org/ito#ITO_01599,2
Median Relighting Error,https://identifiers.org/ito#ITO_08974,2
Temporal awareness,https://identifiers.org/ito#ITO_10135,2
Weighted average precision,https://identifiers.org/ito#ITO_01575,2
SPICE,https://identifiers.org/ito#ITO_12516,2
Average Success Rate,https://identifiers.org/ito#ITO_15942,2
Cumulative regret,https://identifiers.org/ito#ITO_16799,2
Edit Distance,https://identifiers.org/ito#ITO_17076,2
Sparsity,https://identifiers.org/ito#ITO_17187,2
Diacritic Error Rate,https://identifiers.org/ito#ITO_17255,2
Human Equivalence Score,https://identifiers.org/ito#ITO_00037,2
R-Precision-at-K,https://identifiers.org/ito#ITO_01556,2
Final Displacement Error,https://identifiers.org/ito#ITO_00051,1
Cross View Ground Truth Consistency Error,https://identifiers.org/ito#ITO_00076,1
Ground Truth Error,https://identifiers.org/ito#ITO_00077,1
Orientation error,https://identifiers.org/ito#ITO_01545,1
Translation error,https://identifiers.org/ito#ITO_01544,1
R-squared,https://identifiers.org/ito#ITO_01554,1
Vertex-to-vertex metric,https://identifiers.org/ito#ITO_00068,1
Specificity,https://identifiers.org/ito#ITO_00074,1
Average Transaction Value,https://identifiers.org/ito#ITO_00035,1
Average classification error rate,https://identifiers.org/ito#ITO_00025,1
Breakeven Point,https://identifiers.org/ito#ITO_00021,1
Average daily returns,https://identifiers.org/ito#ITO_02554,1
Final agent reward,https://identifiers.org/ito#ITO_00091,1
Mean Angle Error,https://identifiers.org/ito#ITO_04157,1
Phoneme Error Rate,https://identifiers.org/ito#ITO_04638,1
Warping Error,https://identifiers.org/ito#ITO_05493,1
CREMI Score,https://identifiers.org/ito#ITO_05631,1
Procrustes alignment,https://identifiers.org/ito#ITO_01564,1
Distractor error,https://identifiers.org/ito#ITO_01590,1
BPE Perplexity,https://identifiers.org/ito#ITO_10156,1
Consistency,https://identifiers.org/ito#ITO_15741,1
Chamfer Distance,https://identifiers.org/ito#ITO_15903,1
MACE,https://identifiers.org/ito#ITO_15994,1
