id,Superclass_id,Superclass_label,Class_Label,Suggested_label
196,https://identifiers.org/ito:ITO_01160,Image classification,Unsupervised Image Classification,Image classification
37,https://identifiers.org/ito:ITO_00371,Image generation,Conditional Image Generation,Image generation
95,https://identifiers.org/ito:ITO_01413,3D face animation,Image Generation,Image generation
96,https://identifiers.org/ito:ITO_00371,Image generation,Image Inpainting,Image generation
102,https://identifiers.org/ito:ITO_00371,Image generation,Image-to-image Translation,Image generation
108,https://identifiers.org/ito:ITO_00371,Image generation,Layout-to-image Generation,Image generation
156,https://identifiers.org/ito:ITO_00371,Image generation,Pose Transfer,Image generation
191,https://identifiers.org/ito:ITO_00371,Image generation,Text-to-image Generation,Image generation
39,https://identifiers.org/ito:ITO_00233,Image-to-image translation,Cross-view Image-to-image Translation,Image-to-image translation
64,https://identifiers.org/ito:ITO_00245,Sketch,Face Sketch Synthesis,Image-to-image translation
73,https://identifiers.org/ito:ITO_00233,Image-to-image translation,Fundus to Angiography Generation,Image-to-image translation
76,https://identifiers.org/ito:ITO_00749,Hand-related vision process,Gesture-to-gesture Translation,Image-to-image translation
128,https://identifiers.org/ito:ITO_00233,Image-to-image translation,Multimodal Unsupervised Image-to-image Translation,Image-to-image translation
188,https://identifiers.org/ito:ITO_00233,Image-to-image translation,Synthetic-to-real Translation,Image-to-image translation
197,https://identifiers.org/ito:ITO_00233,Image-to-image translation,Unsupervised Image-to-image Translation,Image-to-image translation
5,,,3D Object Detection,Object detection
29,https://identifiers.org/ito:ITO_00101,Vision process,Birds Eye View Object Detection,Object detection
45,https://identifiers.org/ito:ITO_01126,Object detection,Dense Object Detection,Object detection
107,https://identifiers.org/ito:ITO_00213,Autonomous vehicle task,Lane Detection,Object detection
116,https://identifiers.org/ito:ITO_01126,Object detection,Medical Object Detection,Object detection
134,https://identifiers.org/ito:ITO_00101,Vision process,Object Detection,Object detection
136,https://identifiers.org/ito:ITO_01126,Object detection,Object Proposal Generation,Object detection
137,https://identifiers.org/ito:ITO_01126,Object detection,Object Skeleton Detection,Object detection
139,https://identifiers.org/ito:ITO_01126,Object detection,One-shot Object Detection,Object detection
148,https://identifiers.org/ito:ITO_00213,Autonomous vehicle task,Pedestrian Detection,Object detection
159,,,RGB Salient Object Detection,Object detection
160,https://identifiers.org/ito:ITO_01126,Object detection,Real-time Object Detection,Object detection
165,https://identifiers.org/ito:ITO_01126,Object detection,Robust Object Detection,Object detection
167,https://identifiers.org/ito:ITO_01126,Object detection,Salient Object Detection,Object detection
208,https://identifiers.org/ito:ITO_01126,Object detection,Video Object Detection,Object detection
222,https://identifiers.org/ito:ITO_01126,Object detection,Weakly Supervised Object Detection,Object detection
225,https://identifiers.org/ito:ITO_01126,Object detection,Zero-shot Object Detection,Object detection
135,https://identifiers.org/ito:ITO_00101,Vision process,Object Localization,Object localization
223,https://identifiers.org/ito:ITO_00731,Object localization,Weakly-supervised Object Localization,Object localization
4,,,3D Object Classification,Object recognition
147,https://identifiers.org/ito:ITO_00213,Autonomous vehicle task,Pedestrian Attribute Recognition,Object recognition
192,https://identifiers.org/ito:ITO_00213,Autonomous vehicle task,Traffic Sign Recognition,Object recognition
122,https://identifiers.org/ito:ITO_00408,Object tracking,Multi-object Tracking,Object tracking
130,https://identifiers.org/ito:ITO_00408,Object tracking,Multiple Object Tracking,Object tracking
142,https://identifiers.org/ito:ITO_00408,Object tracking,Online Multi-object Tracking,Object tracking
218,https://identifiers.org/ito:ITO_00408,Object tracking,Visual Object Tracking,Object tracking
3,,,3D Multi-Object Tracking,Other 3D task
6,,,3D Object Reconstruction,Other 3D task
8,,,3D Point Cloud Classification,Other 3D task
9,,,3D Reconstruction,Other 3D task
10,,,3D Room Layouts From A Single RGB Panorama,Other 3D task
13,,,3D Shape Classification,Other 3D task
14,,,3D Shape Modeling,Other 3D task
15,,,3D Shape Reconstruction,Other 3D task
25,https://identifiers.org/ito:ITO_00321,Image quality assessment,Aesthetics Quality Assessment,Other image process
34,https://identifiers.org/ito:ITO_00994,Image denoising,Color Image Denoising,Other image process
38,https://identifiers.org/ito:ITO_17323,Image retrieval with multi-modal query,Cross-modal Retrieval,Other image process
50,https://identifiers.org/ito:ITO_01195,Medical image registration,Diffeomorphic Medical Image Registration,Other image process
77,https://identifiers.org/ito:ITO_00994,Image denoising,Grayscale Image Denoising,Other image process
91,https://identifiers.org/ito:ITO_00101,Vision process,Image Clustering,Other image process
92,https://identifiers.org/ito:ITO_00101,Vision process,Image Compression,Other image process
93,https://identifiers.org/ito:ITO_00331,Dehazing,Image Dehazing,Other image process
94,https://identifiers.org/ito:ITO_01039,Denoising,Image Denoising,Other image process
97,https://identifiers.org/ito:ITO_00101,Vision process,Image Matting,Other image process
98,https://identifiers.org/ito:ITO_00101,Vision process,Image Reconstruction,Other image process
99,https://identifiers.org/ito:ITO_00101,Vision process,Image Registration,Other image process
100,https://identifiers.org/ito:ITO_00101,Vision process,Image Retrieval,Other image process
101,https://identifiers.org/ito:ITO_00143,Super-resolution,Image Super-resolution,Other image process
110,https://identifiers.org/ito:ITO_01238,Image recognition,License Plate Recognition,Other image process
113,https://identifiers.org/ito:ITO_00325,Image enhancement,Low-light Image Enhancement,Other image process
120,https://identifiers.org/ito:ITO_00144,Image super-resolution,Multi-frame Super-resolution,Other image process
125,https://identifiers.org/ito:ITO_00979,Image clustering,Multi-view Subspace Clustering,Other image process
174,https://identifiers.org/ito:ITO_01370,Image matting,Semantic Image Matting,Other image process
183,https://identifiers.org/ito:ITO_01104,Image retrieval,Sketch-based Image Retrieval,Other image process
47,https://identifiers.org/ito:ITO_00891,Video captioning,Dense Video Captioning,Other video process
202,https://identifiers.org/ito:ITO_00101,Vision process,Video Captioning,Other video process
204,https://identifiers.org/ito:ITO_00407,Video process,Video Denoising,Other video process
205,https://identifiers.org/ito:ITO_00407,Video process,Video Frame Interpolation,Other video process
206,https://identifiers.org/ito:ITO_00407,Video process,Video Generation,Other video process
210,https://identifiers.org/ito:ITO_00101,Vision process,Video Question Answering,Other video process
211,https://identifiers.org/ito:ITO_00407,Video process,Video Retrieval,Other video process
213,https://identifiers.org/ito:ITO_00407,Video process,Video Story Qa,Other video process
215,https://identifiers.org/ito:ITO_00407,Video process,Video Super-resolution,Other video process
32,https://identifiers.org/ito:ITO_00101,Vision process,Camera Localization,Other vision process
36,https://identifiers.org/ito:ITO_00482,Zero-shot learning,Compositional Zero-shot Learning,Other vision process
40,https://identifiers.org/ito:ITO_00592,Crowds,Crowd Counting,Other vision process
41,https://identifiers.org/ito:ITO_00866,Scene text detection,Curved Text Detection,Other vision process
43,https://identifiers.org/ito:ITO_00101,Vision process,Deepfake Detection,Other vision process
44,https://identifiers.org/ito:ITO_00101,Vision process,Denoising,Other vision process
46,https://identifiers.org/ito:ITO_00101,Vision process,Dense Pixel Correspondence Estimation,Other vision process
48,https://identifiers.org/ito:ITO_00101,Vision process,Depth Completion,Other vision process
49,https://identifiers.org/ito:ITO_00101,Vision process,Depth Estimation,Other vision process
53,https://identifiers.org/ito:ITO_00101,Vision process,Domain Adaptation,Other vision process
54,https://identifiers.org/ito:ITO_00248,Domain adaptation,Domain Generalization,Other vision process
55,https://identifiers.org/ito:ITO_00101,Vision process,Edge Detection,Other vision process
60,https://identifiers.org/ito:ITO_00466,Deception detection,Face Anti-spoofing,Other vision process
72,,,Formation Energy,Other vision process
74,https://identifiers.org/ito:ITO_00101,Vision process,Gaze Estimation,Other vision process
83,https://identifiers.org/ito:ITO_00101,Vision process,Horizon Line Estimation,Other vision process
112,https://identifiers.org/ito:ITO_17566,Generalized few-shot learning,Long-tail Learning,Other vision process
117,https://identifiers.org/ito:ITO_00101,Vision process,Metric Learning,Other vision process
119,https://identifiers.org/ito:ITO_00117,Depth estimation,Monocular Depth Estimation,Other vision process
129,https://identifiers.org/ito:ITO_00215,Motion forecasting,Multiple Object Forecasting,Other vision process
131,https://identifiers.org/ito:ITO_00316,Imputation,Multivariate Time Series Imputation,Other vision process
133,https://identifiers.org/ito:ITO_00101,Vision process,Object Counting,Other vision process
143,https://identifiers.org/ito:ITO_00101,Vision process,Optical Flow Estimation,Other vision process
144,https://identifiers.org/ito:ITO_00101,Vision process,Out-of-distribution Detection,Other vision process
149,https://identifiers.org/ito:ITO_00101,Vision process,Person Re-identification,Other vision process
151,https://identifiers.org/ito:ITO_00916,Point cloud generation,Point Cloud Completion,Other vision process
152,https://identifiers.org/ito:ITO_00101,Vision process,Point Cloud Generation,Other vision process
153,https://identifiers.org/ito:ITO_00101,Vision process,Point Cloud Registration,Other vision process
166,https://identifiers.org/ito:ITO_00101,Vision process,Saliency Detection,Other vision process
169,https://identifiers.org/ito:ITO_00516,Scene parsing,Scene Graph Generation,Other vision process
171,https://identifiers.org/ito:ITO_00101,Vision process,Scene Text Detection,Other vision process
181,https://identifiers.org/ito:ITO_00101,Vision process,Shadow Detection,Other vision process
193,https://identifiers.org/ito:ITO_00131,Time series process,Trajectory Prediction,Other vision process
194,https://identifiers.org/ito:ITO_00248,Domain adaptation,Unsupervised Domain Adaptation,Other vision process
198,https://identifiers.org/ito:ITO_00391,Person re-identification,Unsupervised Person Re-identification,Other vision process
209,https://identifiers.org/ito:ITO_00131,Time series process,Video Prediction,Other vision process
216,https://identifiers.org/ito:ITO_00101,Vision process,Vision-language Navigation,Other vision process
217,https://identifiers.org/ito:ITO_00101,Vision process,Visual Dialog,Other vision process
219,,,Visual Question Answering,Other vision process
220,https://identifiers.org/ito:ITO_00101,Vision process,Visual Reasoning,Other vision process
1,,,3D Human Pose Estimation,Pose estimation
16,,,6D Pose Estimation,Pose estimation
17,,,6D Pose Estimation using RGB,Pose estimation
18,,,6D Pose Estimation using RGBD,Pose estimation
42,https://identifiers.org/ito:ITO_17631,2D human pose estimation,Deblurring,Pose estimation
80,,,Hand Pose Estimation,Pose estimation
81,https://identifiers.org/ito:ITO_00781,Pose estimation,Head Pose Estimation,Pose estimation
86,https://identifiers.org/ito:ITO_00781,Pose estimation,Human Pose Forecasting,Pose estimation
105,https://identifiers.org/ito:ITO_00781,Pose estimation,Keypoint Detection,Pose estimation
118,,,Monocular 3D Human Pose Estimation,Pose estimation
123,https://identifiers.org/ito:ITO_00781,Pose estimation,Multi-person Pose Estimation,Pose estimation
154,https://identifiers.org/ito:ITO_00101,Vision process,Pose Estimation,Pose estimation
158,,,RF-based Pose Estimation,Pose estimation
201,https://identifiers.org/ito:ITO_00781,Pose estimation,Vehicle Pose Estimation,Pose estimation
224,,,Weakly-supervised 3D Human Pose Estimation,Pose estimation
155,https://identifiers.org/ito:ITO_00101,Vision process,Pose Tracking,Pose tracking
2,,,3D Instance Segmentation,Semantic segmenation
7,,,3D Part Segmentation,Semantic segmentation
11,,,3D Semantic Instance Segmentation,Semantic segmentation
12,,,3D Semantic Segmentation,Semantic segmentation
30,https://identifiers.org/ito:ITO_00350,Brain image segmentation,Brain Tumor Segmentation,Semantic segmentation
33,https://identifiers.org/ito:ITO_17513,Object segmentation,Camouflaged Object Segmentation,Semantic segmentation
57,https://identifiers.org/ito:ITO_00341,Medical image segmentation,Electron Microscopy Image Segmentation,Semantic segmentation
85,https://identifiers.org/ito:ITO_00101,Vision process,Human Part Segmentation,Semantic segmentation
103,https://identifiers.org/ito:ITO_00101,Vision process,Instance Segmentation,Semantic segmentation
104,https://identifiers.org/ito:ITO_00341,Medical image segmentation,Iris Segmentation,Semantic segmentation
106,,,LIDAR Semantic Segmentation,Semantic segmentation
109,https://identifiers.org/ito:ITO_00341,Medical image segmentation,Lesion Segmentation,Semantic segmentation
111,https://identifiers.org/ito:ITO_00341,Medical image segmentation,Liver Segmentation,Semantic segmentation
114,https://identifiers.org/ito:ITO_00341,Medical image segmentation,Lung Nodule Segmentation,Semantic segmentation
115,https://identifiers.org/ito:ITO_01537,Biomedical vision process,Medical Image Segmentation,Semantic segmentation
121,https://identifiers.org/ito:ITO_01443,Human parsing,Multi-human Parsing,Semantic segmentation
124,,,Multi-tissue Nucleus Segmentation,Semantic segmentation
132,https://identifiers.org/ito:ITO_00341,Medical image segmentation,Nuclear Segmentation,Semantic segmentation
140,https://identifiers.org/ito:ITO_00712,Semantic segmentation,One-shot Segmentation,Semantic segmentation
141,https://identifiers.org/ito:ITO_17107,Semi-supervised video object segmentation,One-shot Visual Object Segmentation,Semantic segmentation
145,https://identifiers.org/ito:ITO_00345,3D medical imaging segmentation,Pancreas Segmentation,Semantic segmentation
146,https://identifiers.org/ito:ITO_00712,Semantic segmentation,Panoptic Segmentation,Semantic segmentation
157,https://identifiers.org/ito:ITO_00366,Pulmorary vessel segmentation,Pulmonary Artery–vein Classification,Semantic segmentation
161,https://identifiers.org/ito:ITO_00712,Semantic segmentation,Real-time Semantic Segmentation,Semantic segmentation
162,,,Real-time Instance Segmentation,Semantic segmentation
164,https://identifiers.org/ito:ITO_00341,Medical image segmentation,Retinal Vessel Segmentation,Semantic segmentation
170,https://identifiers.org/ito:ITO_00712,Semantic segmentation,Scene Segmentation,Semantic segmentation
175,https://identifiers.org/ito:ITO_00101,Vision process,Semantic Segmentation,Semantic segmentation
177,https://identifiers.org/ito:ITO_00712,Semantic segmentation,Semi-supervised Semantic Segmentation,Semantic segmentation
178,https://identifiers.org/ito:ITO_01357,Video object segmentation,Semi-supervised Video Object Segmentation,Semantic segmentation
184,https://identifiers.org/ito:ITO_00356,Volumetric medical image segmentation,Skin Cancer Segmentation,Semantic segmentation
199,https://identifiers.org/ito:ITO_01357,Video object segmentation,Unsupervised Video Object Segmentation,Semantic segmentation
207,https://identifiers.org/ito:ITO_00101,Vision process,Video Instance Segmentation,Semantic segmentation
212,https://identifiers.org/ito:ITO_00101,Vision process,Video Semantic Segmentation,Semantic segmentation
203,https://identifiers.org/ito:ITO_00407,Video process,Video Classification,Video classification
187,https://identifiers.org/ito:ITO_00431,Video summarization,Supervised Video Summarization,Video summarization
200,https://identifiers.org/ito:ITO_00431,Video summarization,Unsupervised Video Summarization,Video summarization
214,https://identifiers.org/ito:ITO_00407,Video process,Video Summarization,Video summarization
