,ds_count,task,ds,date,model_label,value,percent_of_max_sota,gain,ratio,max_sota,percent_of_max_metric,merge
13,1,Depth Completion,KITTI Depth Completion - Depth Completion benchmarking,2017-08,SparseConvs,-1601.0,207.15,-1601.0,100,-772.87,4084.18,RMSE
14,1,Depth Completion,KITTI Depth Completion - Depth Completion benchmarking,2018-08,Spade-sD,-1035.0,133.92,566.0,0.6835,-772.87,2640.31,RMSE
15,1,Depth Completion,KITTI Depth Completion - Depth Completion benchmarking,2018-08,Spade-RGBsD,-918.0,118.78,117.0,0.1413,-772.87,2341.84,RMSE
16,1,Depth Completion,KITTI Depth Completion - Depth Completion benchmarking,2018-11,NConv-CNN-L2,-830.0,107.39,88.0,0.1063,-772.87,2117.35,RMSE
17,1,Depth Completion,KITTI Depth Completion - Depth Completion benchmarking,2019-02,FusionNet (RGB_guide&certainty),-772.87,100.0,57.13,0.069,-772.87,1971.61,RMSE
18,1,Monocular Depth Estimation,Make3D - Monocular Depth Estimation benchmarking,2018-06,Monodepth2,-7.417,100.0,-7.417,100,-7.417,18.92,RMSE
19,1,Depth Completion,VOID - Depth Completion benchmarking,2019-05,VOICED,-169.79,100.0,-169.79,100,-169.79,433.14,RMSE
20,1,Stereo-LiDAR Fusion,KITTI Depth Completion Validation - Stereo-LiDAR Fusion benchmarking,2019-08,GuideNet,-777.78,100.0,-777.78,100,-777.78,1984.13,RMSE
0,1,Multi-tissue Nucleus Segmentation,Kumar - Multi-tissue Nucleus Segmentation benchmarking,2014-11,FCN8 (e),31.2,61.3,31.2,100,50.9,0.16,Hausdorff\\ Distance\\ \\(mm\\)
1,1,Multi-tissue Nucleus Segmentation,Kumar - Multi-tissue Nucleus Segmentation benchmarking,2015-05,U-Net (e),47.8,93.91,16.6,0.8426,50.9,0.24,Hausdorff\\ Distance\\ \\(mm\\)
2,1,Multi-tissue Nucleus Segmentation,Kumar - Multi-tissue Nucleus Segmentation benchmarking,2017-03,Mask R-CNN (e),50.9,100.0,3.1,0.1574,50.9,0.26,Hausdorff\\ Distance\\ \\(mm\\)
3,1,Colorectal Gland Segmentation:,CRAG - Colorectal Gland Segmentation: benchmarking,2015-05,FCN8 (e),199.5,100.0,199.5,100,199.5,1.0,Hausdorff\\ Distance\\ \\(mm\\)
0,1,Multi-tissue Nucleus Segmentation,Kumar - Multi-tissue Nucleus Segmentation benchmarking,2014-11,FCN8 (e),0.797,100.0,0.797,100,0.797,0.01,Dice
1,1,Medical Image Segmentation,RITE - Medical Image Segmentation benchmarking,2015-05,U-Net,55.24,100.0,55.24,100,55.24,0.61,Dice
2,1,Colorectal Gland Segmentation:,CRAG - Colorectal Gland Segmentation: benchmarking,2015-05,FCN8 (e),0.835,98.93,0.835,100,0.844,0.01,Dice
3,1,Colorectal Gland Segmentation:,CRAG - Colorectal Gland Segmentation: benchmarking,2015-05,U-Net (e),0.844,100.0,0.009,1.0,0.844,0.01,Dice
4,1,Nuclear Segmentation,Cell17 - Nuclear Segmentation benchmarking,2016-03,FnsNet,0.6165,86.98,0.6165,100,0.7088,0.01,Dice
5,1,Nuclear Segmentation,Cell17 - Nuclear Segmentation benchmarking,2016-11,Pix2Pix,0.6351,89.6,0.0186,0.2015,0.7088,0.01,Dice
6,1,Nuclear Segmentation,Cell17 - Nuclear Segmentation benchmarking,2017-03,Mask R-CNN,0.707,99.75,0.0719,0.779,0.7088,0.01,Dice
7,1,Nuclear Segmentation,Cell17 - Nuclear Segmentation benchmarking,2018-09,Cell R-CNN,0.7088,100.0,0.0018,0.0195,0.7088,0.01,Dice
8,1,Medical Image Segmentation,2018 Data Science Bowl - Medical Image Segmentation benchmarking,2018-07,Unet++,0.8974,100.0,0.8974,100,0.8974,0.01,Dice
9,1,Image Registration,Osteoarthritis Initiative - Image Registration benchmarking,2019-03,vSVF-net [shen2019networks],67.59,99.13,67.59,100,68.18,0.74,Dice
10,1,Image Registration,Osteoarthritis Initiative - Image Registration benchmarking,2019-06,Region-specific Diffeomorphic Metric Mapping,68.18,100.0,0.59,1.0,68.18,0.75,Dice
11,1,Lung Nodule Segmentation,LIDC-IDRI - Lung Nodule Segmentation benchmarking,2019-08,ModelGenesis,75.86,100.0,75.86,100,75.86,0.83,Dice
12,1,Liver Segmentation,LiTS2017 - Liver Segmentation benchmarking,2019-08,ModelGenesis,91.13,100.0,91.13,100,91.13,1.0,Dice
0,1,3D Human Pose Estimation,HumanEva-I - 3D Human Pose Estimation benchmarking,2010-03,TGP,48.7,100.0,48.7,100,48.7,1.0,Mean\\ Reconstruction\\ Error\\ \\(mm\\)
1,1,3D Face Reconstruction,NoW Benchmark - 3D Face Reconstruction benchmarking,2016-12,3DMM-CNN,2.33,100.0,2.33,100,2.33,0.05,Mean\\ Reconstruction\\ Error\\ \\(mm\\)
0,1,Multivariate Time Series Imputation,KDD CUP Challenge 2018 - Multivariate Time Series Imputation benchmarking,2010-11,MICE,0.468,100.0,0.468,100,0.468,1.0,MSE\\ \\(10%\\ missing\\)
0,1,Multivariate Time Series Imputation,UCI localization data - Multivariate Time Series Imputation benchmarking,2010-11,MICE,0.477,100.0,0.477,100,0.477,1.0,MAE\\ \\(10%\\ missing\\)
0,1,Multivariate Time Series Imputation,PhysioNet Challenge 2012 - Multivariate Time Series Imputation benchmarking,2010-11,MICE,0.634,100.0,0.634,100,0.634,1.0,MAE\\ \\(10%\\ of\\ data\\ as\\ GT\\)
0,1,Multivariate Time Series Imputation,Beijing Air Quality - Multivariate Time Series Imputation benchmarking,2010-11,MICE,27.42,100.0,27.42,100,27.42,1.0,MAE\\ \\(PM2\\.5\\)
0,1,Image Classification,MNIST - Image Classification benchmarking,2012-02,MCDNN,0.23,4.6,0.23,100,5.0,0.0,Percentage\\ error
1,1,Image Classification,MNIST - Image Classification benchmarking,2013-02,Maxout Networks,0.5,10.0,0.27,0.0566,5.0,0.01,Percentage\\ error
2,1,Image Classification,MNIST - Image Classification benchmarking,2014-04,PCANet,0.6,12.0,0.1,0.021,5.0,0.01,Percentage\\ error
3,1,Image Classification,MNIST - Image Classification benchmarking,2014-12,Explaining and Harnessing Adversarial Examples,0.8,16.0,0.2,0.0419,5.0,0.01,Percentage\\ error
4,1,Image Classification,MNIST - Image Classification benchmarking,2015-06,Zhao et al. (2015) (auto-encoder),4.76,95.2,3.96,0.8302,5.0,0.06,Percentage\\ error
5,1,Image Classification,MNIST - Image Classification benchmarking,2017-08,ProjectionNet,5.0,100.0,0.24,0.0503,5.0,0.06,Percentage\\ error
6,1,Image Classification,SVHN - Image Classification benchmarking,2013-01,Stochastic Pooling,2.8,3.59,2.8,100,77.93,0.04,Percentage\\ error
7,1,Image Classification,SVHN - Image Classification benchmarking,2014-06,M1+M2,36.02,46.22,33.22,0.4422,77.93,0.46,Percentage\\ error
8,1,Image Classification,SVHN - Image Classification benchmarking,2014-06,M1+KNN,65.63,84.22,29.61,0.3941,77.93,0.84,Percentage\\ error
9,1,Image Classification,SVHN - Image Classification benchmarking,2015-11,KNN,77.93,100.0,12.3,0.1637,77.93,1.0,Percentage\\ error
10,1,Image Classification,Fashion-MNIST - Image Classification benchmarking,2017-08,Random Erasing,3.65,48.03,3.65,100,7.6,0.05,Percentage\\ error
11,1,Image Classification,Fashion-MNIST - Image Classification benchmarking,2019-01,VGG8B(2x) + LocalLearning + CO,4.14,54.47,0.49,0.1241,7.6,0.05,Percentage\\ error
12,1,Image Classification,Fashion-MNIST - Image Classification benchmarking,2019-04,TextCaps,6.29,82.76,2.15,0.5443,7.6,0.08,Percentage\\ error
13,1,Image Classification,Fashion-MNIST - Image Classification benchmarking,2019-08,NeuPDE,7.6,100.0,1.31,0.3316,7.6,0.1,Percentage\\ error
14,1,Image Classification,MultiMNIST - Image Classification benchmarking,2017-10,CapsNet,5.2,100.0,5.2,100,5.2,0.07,Percentage\\ error
15,1,Semi-Supervised Image Classification,"CIFAR-10, 40 Labels - Semi-Supervised Image Classification benchmarking",2018-05,UL-Hopfield (ULH),16.9,88.48,16.9,100,19.1,0.22,Percentage\\ error
16,1,Semi-Supervised Image Classification,"CIFAR-10, 40 Labels - Semi-Supervised Image Classification benchmarking",2019-11,ReMixMatch,19.1,100.0,2.2,1.0,19.1,0.25,Percentage\\ error
0,1,Traffic Sign Recognition,GTSRB - Traffic Sign Recognition benchmarking,2012-02,MCDNN,99.5,100.0,99.5,100,99.5,1.0,Accuracy
1,1,Image Clustering,Extended Yale-B - Image Clustering benchmarking,2012-03,SSC,0.706,71.17,0.706,100,0.992,0.01,Accuracy
2,1,Image Clustering,Extended Yale-B - Image Clustering benchmarking,2017-09,DSC-2,0.973,98.08,0.267,0.9336,0.992,0.01,Accuracy
3,1,Image Clustering,Extended Yale-B - Image Clustering benchmarking,2018-04,DMSC,0.992,100.0,0.019,0.0664,0.992,0.01,Accuracy
4,1,Skeleton Based Action Recognition,UWA3D - Skeleton Based Action Recognition benchmarking,2012-07,HOJ3D,17.7,21.74,17.7,100,81.4,0.18,Accuracy
5,1,Skeleton Based Action Recognition,UWA3D - Skeleton Based Action Recognition benchmarking,2017-08,ESV (Synthesized + Pre-trained),73.8,90.66,56.1,0.8807,81.4,0.74,Accuracy
6,1,Skeleton Based Action Recognition,UWA3D - Skeleton Based Action Recognition benchmarking,2018-04,VA-fusion (aug.),81.4,100.0,7.6,0.1193,81.4,0.81,Accuracy
7,1,Image Clustering,coil-100 - Image Clustering benchmarking,2012-08,GDL,0.731,94.32,0.731,100,0.775,0.01,Accuracy
8,1,Image Clustering,coil-100 - Image Clustering benchmarking,2017-03,DBC,0.775,100.0,0.044,1.0,0.775,0.01,Accuracy
9,1,Image Clustering,Fashion-MNIST - Image Clustering benchmarking,2012-08,GDL,0.627,100.0,0.627,100,0.627,0.01,Accuracy
10,1,Image Clustering,Coil-20 - Image Clustering benchmarking,2012-08,AGDL,0.858,100.0,0.858,100,0.858,0.01,Accuracy
11,1,Image Clustering,MNIST-full - Image Clustering benchmarking,2012-08,GDL,0.964,99.48,0.964,100,0.969,0.01,Accuracy
12,1,Image Clustering,MNIST-full - Image Clustering benchmarking,2018-12,DDC-DA,0.969,100.0,0.005,1.0,0.969,0.01,Accuracy
13,1,Skeleton Based Action Recognition,CAD-120 - Skeleton Based Action Recognition benchmarking,2012-10,KGS,86.0,96.3,86.0,100,89.3,0.86,Accuracy
14,1,Skeleton Based Action Recognition,CAD-120 - Skeleton Based Action Recognition benchmarking,2013-02,All Features (w ground truth),89.3,100.0,3.3,1.0,89.3,0.89,Accuracy
15,1,Trajectory Prediction,GPS - Trajectory Prediction benchmarking,2012-11,Support Vector Machines,88.0,100.0,88,100,88,0.88,Accuracy
16,1,Image Classification,ImageNet ReaL - Image Classification benchmarking,2012-12,AlexNet,62.88,69.45,62.88,100,90.54,0.63,Accuracy
17,1,Image Classification,ImageNet ReaL - Image Classification benchmarking,2014-09,VGG-16,79.01,87.27,16.13,0.5832,90.54,0.79,Accuracy
18,1,Image Classification,ImageNet ReaL - Image Classification benchmarking,2014-09,VGG-16 BN,80.6,89.02,1.59,0.0575,90.54,0.81,Accuracy
19,1,Image Classification,ImageNet ReaL - Image Classification benchmarking,2015-12,ResNet-50,82.94,91.61,2.34,0.0846,90.54,0.83,Accuracy
20,1,Image Classification,ImageNet ReaL - Image Classification benchmarking,2015-12,ResNet-152,84.79,93.65,1.85,0.0669,90.54,0.85,Accuracy
21,1,Image Classification,ImageNet ReaL - Image Classification benchmarking,2017-07,NASNet-A Large,87.56,96.71,2.77,0.1001,90.54,0.88,Accuracy
22,1,Image Classification,ImageNet ReaL - Image Classification benchmarking,2019-06,FixResNeXt-101 32x48d,89.73,99.11,2.17,0.0785,90.54,0.9,Accuracy
23,1,Image Classification,ImageNet ReaL - Image Classification benchmarking,2019-12,BiT-L,90.54,100.0,0.81,0.0293,90.54,0.91,Accuracy
24,1,Unsupervised Domain Adaptation,Office-Home - Unsupervised Domain Adaptation benchmarking,2012-12,AlexNet [cite:NIPS12CNN],54.9,71.48,54.9,100,76.8,0.55,Accuracy
25,1,Unsupervised Domain Adaptation,Office-Home - Unsupervised Domain Adaptation benchmarking,2015-02,DAN [cite:ICML15DAN],74.3,96.74,19.4,0.8858,76.8,0.74,Accuracy
26,1,Unsupervised Domain Adaptation,Office-Home - Unsupervised Domain Adaptation benchmarking,2015-05,DANN [cite:JMLR16RevGrad],76.8,100.0,2.5,0.1142,76.8,0.77,Accuracy
27,1,Hand Gesture Recognition,Cambridge - Hand Gesture Recognition benchmarking,2013-03,Sanin et al. [sanin2013spatio],93.0,94.68,93.0,100,98.23,0.93,Accuracy
28,1,Hand Gesture Recognition,Cambridge - Hand Gesture Recognition benchmarking,2019-01,Key Frames + Feature Fusion,98.23,100.0,5.23,1.0,98.23,0.98,Accuracy
29,1,Human Interaction Recognition,UT - Human Interaction Recognition benchmarking,2013-06,Raptis et al.,93.3,94.88,93.3,100,98.33,0.93,Accuracy
30,1,Human Interaction Recognition,UT - Human Interaction Recognition benchmarking,2017-06,Co-LSTSM,95.0,96.61,1.7,0.338,98.33,0.95,Accuracy
31,1,Human Interaction Recognition,UT - Human Interaction Recognition benchmarking,2018-11,H-LSTCM,98.33,100.0,3.33,0.662,98.33,0.98,Accuracy
32,1,Image Classification,MNIST - Image Classification benchmarking,2013-06,DropConnect,99.79,99.96,99.79,100,99.83,1.0,Accuracy
33,1,Image Classification,MNIST - Image Classification benchmarking,2018-05,RMDL (30 RDLs),99.82,99.99,0.03,0.75,99.83,1.0,Accuracy
34,1,Image Classification,MNIST - Image Classification benchmarking,2020-01,SOPCNN (Only a single Model),99.83,100.0,0.01,0.25,99.83,1.0,Accuracy
35,1,Facial Expression Recognition,FER2013 - Facial Expression Recognition benchmarking,2013-07,Residual Masking Network,74.14,96.51,74.14,100,76.82,0.74,Accuracy
36,1,Facial Expression Recognition,FER2013 - Facial Expression Recognition benchmarking,2013-07,Ensemble ResMaskingNet with 6 other CNNs,76.82,100.0,2.68,1.0,76.82,0.77,Accuracy
37,1,Few-Shot Image Classification,ImageNet - 0-Shot - Few-Shot Image Classification benchmarking,2013-12,ConSE,1.4,93.33,1.4,100,1.5,0.01,Accuracy
38,1,Few-Shot Image Classification,ImageNet - 0-Shot - Few-Shot Image Classification benchmarking,2016-03,Synthesised Classifier,1.5,100.0,0.1,1.0,1.5,0.02,Accuracy
39,1,Image Clustering,STL-10 - Image Clustering benchmarking,2013-12,VAE,0.282,58.51,0.282,100,0.482,0.0,Accuracy
40,1,Image Clustering,STL-10 - Image Clustering benchmarking,2015-11,GAN,0.298,61.83,0.016,0.08,0.482,0.0,Accuracy
41,1,Image Clustering,STL-10 - Image Clustering benchmarking,2015-11,DEC,0.359,74.48,0.061,0.305,0.482,0.0,Accuracy
42,1,Image Clustering,STL-10 - Image Clustering benchmarking,2017-10,DAC,0.47,97.51,0.111,0.555,0.482,0.0,Accuracy
43,1,Image Clustering,STL-10 - Image Clustering benchmarking,2019-04,DCCM,0.482,100.0,0.012,0.06,0.482,0.0,Accuracy
44,1,Image Clustering,Imagenet-dog-15 - Image Clustering benchmarking,2013-12,VAE,0.179,46.74,0.179,100,0.383,0.0,Accuracy
45,1,Image Clustering,Imagenet-dog-15 - Image Clustering benchmarking,2015-11,DEC,0.195,50.91,0.016,0.0784,0.383,0.0,Accuracy
46,1,Image Clustering,Imagenet-dog-15 - Image Clustering benchmarking,2017-10,DAC,0.275,71.8,0.08,0.3922,0.383,0.0,Accuracy
47,1,Image Clustering,Imagenet-dog-15 - Image Clustering benchmarking,2019-04,DCCM,0.383,100.0,0.108,0.5294,0.383,0.0,Accuracy
48,1,Image Clustering,ImageNet-10 - Image Clustering benchmarking,2013-12,VAE,0.334,47.04,0.334,100,0.71,0.0,Accuracy
49,1,Image Clustering,ImageNet-10 - Image Clustering benchmarking,2015-11,DEC,0.381,53.66,0.047,0.125,0.71,0.0,Accuracy
50,1,Image Clustering,ImageNet-10 - Image Clustering benchmarking,2017-10,DAC,0.527,74.23,0.146,0.3883,0.71,0.01,Accuracy
51,1,Image Clustering,ImageNet-10 - Image Clustering benchmarking,2019-04,DCCM,0.71,100.0,0.183,0.4867,0.71,0.01,Accuracy
52,1,Image Clustering,Tiny-ImageNet - Image Clustering benchmarking,2013-12,VAE,0.036,33.33,0.036,100,0.108,0.0,Accuracy
53,1,Image Clustering,Tiny-ImageNet - Image Clustering benchmarking,2015-11,GAN,0.041,37.96,0.005,0.0694,0.108,0.0,Accuracy
54,1,Image Clustering,Tiny-ImageNet - Image Clustering benchmarking,2017-10,DAC,0.066,61.11,0.025,0.3472,0.108,0.0,Accuracy
55,1,Image Clustering,Tiny-ImageNet - Image Clustering benchmarking,2019-04,DCCM,0.108,100.0,0.042,0.5833,0.108,0.0,Accuracy
56,1,Image Clustering,CIFAR-10 - Image Clustering benchmarking,2013-12,VAE,0.291,46.71,0.291,100,0.623,0.0,Accuracy
57,1,Image Clustering,CIFAR-10 - Image Clustering benchmarking,2015-11,GAN,0.315,50.56,0.024,0.0723,0.623,0.0,Accuracy
58,1,Image Clustering,CIFAR-10 - Image Clustering benchmarking,2017-10,DAC,0.522,83.79,0.207,0.6235,0.623,0.01,Accuracy
59,1,Image Clustering,CIFAR-10 - Image Clustering benchmarking,2018-07,IIC,0.617,99.04,0.095,0.2861,0.623,0.01,Accuracy
60,1,Image Clustering,CIFAR-10 - Image Clustering benchmarking,2019-04,DCCM,0.623,100.0,0.006,0.0181,0.623,0.01,Accuracy
61,1,Image Clustering,CIFAR-100 - Image Clustering benchmarking,2013-12,VAE,0.152,46.48,0.152,100,0.327,0.0,Accuracy
62,1,Image Clustering,CIFAR-100 - Image Clustering benchmarking,2015-11,DEC,0.185,56.57,0.033,0.1886,0.327,0.0,Accuracy
63,1,Image Clustering,CIFAR-100 - Image Clustering benchmarking,2017-10,DAC,0.238,72.78,0.053,0.3029,0.327,0.0,Accuracy
64,1,Image Clustering,CIFAR-100 - Image Clustering benchmarking,2019-04,DCCM,0.327,100.0,0.089,0.5086,0.327,0.0,Accuracy
65,1,Multimodal Activity Recognition,MSR Daily Activity3D dataset - Multimodal Activity Recognition benchmarking,2014-03,DL-GSGC (RGB+D),95.0,97.44,95.0,100,97.5,0.95,Accuracy
66,1,Multimodal Activity Recognition,MSR Daily Activity3D dataset - Multimodal Activity Recognition benchmarking,2016-03,DSSCA-SSLM (RGB+D),97.5,100.0,2.5,1.0,97.5,0.98,Accuracy
67,1,Face Verification,Labeled Faces in the Wild - Face Verification benchmarking,2014-04,GaussianFace,98.52,98.67,98.52,100,99.85,0.99,Accuracy
68,1,Face Verification,Labeled Faces in the Wild - Face Verification benchmarking,2014-06,DeepId2,99.15,99.3,0.63,0.4737,99.85,0.99,Accuracy
69,1,Face Verification,Labeled Faces in the Wild - Face Verification benchmarking,2014-12,DeepId2+,99.47,99.62,0.32,0.2406,99.85,0.99,Accuracy
70,1,Face Verification,Labeled Faces in the Wild - Face Verification benchmarking,2015-02,DeepID3,99.53,99.68,0.06,0.0451,99.85,1.0,Accuracy
71,1,Face Verification,Labeled Faces in the Wild - Face Verification benchmarking,2015-03,FaceNet,99.63,99.78,0.1,0.0752,99.85,1.0,Accuracy
72,1,Face Verification,Labeled Faces in the Wild - Face Verification benchmarking,2018-01,"ArcFace + MS1MV2 + R100, ",99.83,99.98,0.2,0.1504,99.85,1.0,Accuracy
73,1,Face Verification,Labeled Faces in the Wild - Face Verification benchmarking,2019-10,VarGFaceNet,99.85,100.0,0.02,0.015,99.85,1.0,Accuracy
74,1,Domain Adaptation,UCF-to-Olympic - Domain Adaptation benchmarking,2014-06,W. Sultani et al.,33.33,33.96,33.33,100,98.15,0.33,Accuracy
75,1,Domain Adaptation,UCF-to-Olympic - Domain Adaptation benchmarking,2014-09,TemPooling + RevGrad,98.15,100.0,64.82,1.0,98.15,0.98,Accuracy
76,1,Domain Adaptation,HMDBsmall-to-UCF - Domain Adaptation benchmarking,2014-06,W. Sultani et al.,68.67,69.04,68.67,100,99.47,0.69,Accuracy
77,1,Domain Adaptation,HMDBsmall-to-UCF - Domain Adaptation benchmarking,2014-09,TemPooling + RevGrad,98.41,98.93,29.74,0.9656,99.47,0.98,Accuracy
78,1,Domain Adaptation,HMDBsmall-to-UCF - Domain Adaptation benchmarking,2019-05,TA3N,99.47,100.0,1.06,0.0344,99.47,0.99,Accuracy
79,1,Domain Adaptation,UCF-to-HMDBsmall - Domain Adaptation benchmarking,2014-06,W. Sultani et al.,68.7,69.16,68.7,100,99.33,0.69,Accuracy
80,1,Domain Adaptation,UCF-to-HMDBsmall - Domain Adaptation benchmarking,2014-09,TemPooling + RevGrad,99.33,100.0,30.63,1.0,99.33,0.99,Accuracy
81,1,Domain Adaptation,Olympic-to-HMDBsmall - Domain Adaptation benchmarking,2014-06,W. Sultani et al.,47.91,51.56,47.91,100,92.92,0.48,Accuracy
82,1,Domain Adaptation,Olympic-to-HMDBsmall - Domain Adaptation benchmarking,2014-09,TemPooling + RevGrad,90.0,96.86,42.09,0.9351,92.92,0.9,Accuracy
83,1,Domain Adaptation,Olympic-to-HMDBsmall - Domain Adaptation benchmarking,2019-05,TA3N,92.92,100.0,2.92,0.0649,92.92,0.93,Accuracy
84,1,Hand Gesture Recognition,VIVA Hand Gestures Dataset - Hand Gesture Recognition benchmarking,2014-06,Two Stream CNNs,68.0,79.0,68.0,100,86.08,0.68,Accuracy
85,1,Hand Gesture Recognition,VIVA Hand Gestures Dataset - Hand Gesture Recognition benchmarking,2017-05,I3D,83.1,96.54,15.1,0.8352,86.08,0.83,Accuracy
86,1,Hand Gesture Recognition,VIVA Hand Gestures Dataset - Hand Gesture Recognition benchmarking,2018-12,MTUT,86.08,100.0,2.98,0.1648,86.08,0.86,Accuracy
87,1,Skeleton Based Action Recognition,Florence 3D - Skeleton Based Action Recognition benchmarking,2014-06,Lie Group,90.9,91.73,90.9,100,99.1,0.91,Accuracy
88,1,Skeleton Based Action Recognition,Florence 3D - Skeleton Based Action Recognition benchmarking,2016-06,Rolling Rotations (FTP),91.4,92.23,0.5,0.061,99.1,0.91,Accuracy
89,1,Skeleton Based Action Recognition,Florence 3D - Skeleton Based Action Recognition benchmarking,2018-02,Deep STGC_K,99.1,100.0,7.7,0.939,99.1,0.99,Accuracy
90,1,Skeleton Based Action Recognition,UT-Kinect - Skeleton Based Action Recognition benchmarking,2014-06,Lie Group,97.1,98.58,97.1,100,98.5,0.97,Accuracy
91,1,Skeleton Based Action Recognition,UT-Kinect - Skeleton Based Action Recognition benchmarking,2018-06,DPRL,98.5,100.0,1.4,1.0,98.5,0.99,Accuracy
92,1,Fine-Grained Image Classification,CUB-200-2011 - Fine-Grained Image Classification benchmarking,2014-07,Part RCNN,76.4,84.51,76.4,100,90.4,0.76,Accuracy
93,1,Fine-Grained Image Classification,CUB-200-2011 - Fine-Grained Image Classification benchmarking,2015-12,Bilinear-CNN,85.1,94.14,8.7,0.6214,90.4,0.85,Accuracy
94,1,Fine-Grained Image Classification,CUB-200-2011 - Fine-Grained Image Classification benchmarking,2016-11,DFL-CNN,87.4,96.68,2.3,0.1643,90.4,0.87,Accuracy
95,1,Fine-Grained Image Classification,CUB-200-2011 - Fine-Grained Image Classification benchmarking,2017-12,MPN-COV,88.7,98.12,1.3,0.0929,90.4,0.89,Accuracy
96,1,Fine-Grained Image Classification,CUB-200-2011 - Fine-Grained Image Classification benchmarking,2018-01,PAIRS,89.2,98.67,0.5,0.0357,90.4,0.89,Accuracy
97,1,Fine-Grained Image Classification,CUB-200-2011 - Fine-Grained Image Classification benchmarking,2018-06,Inception-V3,89.6,99.12,0.4,0.0286,90.4,0.9,Accuracy
98,1,Fine-Grained Image Classification,CUB-200-2011 - Fine-Grained Image Classification benchmarking,2019-03,Stacked LSTM,90.4,100.0,0.8,0.0571,90.4,0.9,Accuracy
99,1,Activity Recognition In Videos,DogCentric - Activity Recognition In Videos benchmarking,2014-09,VGG [[Simonyan and Zisserman2015]],59.9,73.59,59.9,100,81.4,0.6,Accuracy
100,1,Activity Recognition In Videos,DogCentric - Activity Recognition In Videos benchmarking,2014-12,"PoT [[Ryoo, Rothrock, and Matthies2015]]",73.0,89.68,13.1,0.6093,81.4,0.73,Accuracy
101,1,Activity Recognition In Videos,DogCentric - Activity Recognition In Videos benchmarking,2015-05,"TDD [[Wang, Qiao, and Tang2015]]",76.6,94.1,3.6,0.1674,81.4,0.77,Accuracy
