,date,individual,class,class_label,performance_measure,metricName,result,model_label
80,2021-03-29,https://identifiers.org/ito:ITO_iA76hw0Z4jf7dPfGn,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,83.3,ViL-Medium-D model in \'Multi-Scale Vision Longformer: A New Vision Transformer for High-Resolution Image Encoding\'
88,2019-04-02,https://identifiers.org/ito:ITO_iALpZkga6vq3JD1EM,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,80.1,RandWire-WS model in \'Exploring Randomly Wired Neural Networks for Image Recognition\'
96,2021-01-27,https://identifiers.org/ito:ITO_iAUTNgNqYT6v33ovY,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,80,ResNet-101 model in \'Bottleneck Transformers for Visual Recognition\'
104,2021-02-11,https://identifiers.org/ito:ITO_iAzB5grUXu91QZAbg,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,84.7,NFNet-F1 model in \'High-Performance Large-Scale Image Recognition Without Normalization\'
112,2021-06-24,https://identifiers.org/ito:ITO_iB4KZrz4LCwfEkfG1,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,85.2,VOLO-D1 model in \'VOLO: Vision Outlooker for Visual Recognition\'
120,2021-03-10,https://identifiers.org/ito:ITO_iB86xdoB7g2b1Yfl9,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,79.3,RedNet-152 model in \'Involution: Inverting the Inherence of Convolution for Visual Recognition\'
128,2021-06-03,https://identifiers.org/ito:ITO_iFBHOAKpjcA84VBmE,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,79.9,ViT-B/16-SAM model in \'When Vision Transformers Outperform ResNets without Pretraining or Strong Data Augmentations\'
136,2017-07-21,https://identifiers.org/ito:ITO_iFBnXmGYZk96n8qiz,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,82.7,NASNET-A(6) model in \'Learning Transferable Architectures for Scalable Image Recognition\'
144,2016-08-25,https://identifiers.org/ito:ITO_iFc3abB2tY6B5XNW6,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,76.2,DenseNet-169 model in \'Densely Connected Convolutional Networks\'
152,2020-03-18,https://identifiers.org/ito:ITO_iFdcvXOoSScULzgbM,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,85,FixEfficientNet-B3 model in \'Fixing the train-test resolution discrepancy: FixEfficientNet\'
160,2020-12-23,https://identifiers.org/ito:ITO_iFj8zQV1GWaBUFAQN,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,76.6,DeiT-Ti model in \'Training data-efficient image transformers & distillation through attention\'
168,2021-05-07,https://identifiers.org/ito:ITO_iFjUWiGHpdFmanb2x,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,77.8,ResMLP-12 model in \'ResMLP: Feedforward networks for image classification with data-efficient training\'
176,2021-01-27,https://identifiers.org/ito:ITO_iBCvTNV1XGxLBB1ha,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,83.5,BoTNet T5 model in \'Bottleneck Transformers for Visual Recognition\'
184,2020-03-18,https://identifiers.org/ito:ITO_iBGV8xzIGVRPGLyjl,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,85.7,FixEfficientNet-B8 model in \'Fixing the train-test resolution discrepancy: FixEfficientNet\'
192,2021-05-31,https://identifiers.org/ito:ITO_iBqpmwHU2IbWE16wr,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,80.43,DVT (T2T-ViT-12) model in \'Not All Images are Worth 16x16 Words: Dynamic Vision Transformers with Adaptive Sequence Length\'
200,2019-11-11,https://identifiers.org/ito:ITO_iBTAcOxHwxqtxgfjJ,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,78.8,NoisyStudent (EfficientNet-B0) model in \'Self-training with Noisy Student improves ImageNet classification\'
208,2020-11-25,https://identifiers.org/ito:ITO_iC4z2OCaJQgXSqCDD,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,71.71,"ResNet-18 (PAD-L2 w/ ResNet-34 teacher) model in \'torchdistill: A Modular, Configuration-Driven Framework for Knowledge Distillation\'"
216,2021-04-20,https://identifiers.org/ito:ITO_iC52RMk3isNjUvdjw,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,82,DIFFQ (λ=1e−2) model in \'Differentiable Model Compression via Pseudo Quantization Noise\'
224,2021-05-17,https://identifiers.org/ito:ITO_iC5FuBHHVznzlpRn6,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,82.6,RVT-B* model in \'Towards Robust Vision Transformer\'
232,2019-07-22,https://identifiers.org/ito:ITO_iCF2vv5EaX5JPt1Gw,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,77,MixNet-M model in \'MixConv: Mixed Depthwise Convolutional Kernels\'
240,2020-03-30,https://identifiers.org/ito:ITO_iLTiAT3VQdmiXaBFP,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,79.4,RegNetY-4.0GF model in \'Designing Network Design Spaces\'
248,2021-01-28,https://identifiers.org/ito:ITO_iLyJZcKlDuv0H6TSV,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,82.4,T2T-ViTt-19 model in \'Tokens-to-Token ViT: Training Vision Transformers from Scratch on ImageNet\'
256,2020-03-18,https://identifiers.org/ito:ITO_iLYMsJruE61zpic3A,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,88.5,FixEfficientNet-L2 model in \'Fixing the train-test resolution discrepancy: FixEfficientNet\'
264,2021-05-26,https://identifiers.org/ito:ITO_iMAbGv8ZFRMxamCpP,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,81.5,Transformer local-attention (NesT-T) model in \'Aggregating Nested Transformers\'
272,2019-02-14,https://identifiers.org/ito:ITO_iMaxEK4qtYrmGelGi,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,83,MultiGrain SENet154 (400px) model in \'MultiGrain: a unified image embedding for classes and instances\'
280,2021-03-22,https://identifiers.org/ito:ITO_iMfq2AqGZXH6soSeC,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,83.1,DeepVit-L* (DeiT training recipe) model in \'DeepViT: Towards Deeper Vision Transformer\'
288,2019-05-28,https://identifiers.org/ito:ITO_iFtOjf0cOiAE4oIrh,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,76.3,EfficientNet-B0 model in \'EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks\'
296,2021-03-30,https://identifiers.org/ito:ITO_iChzzmYjYlEiXJcsB,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,81.9,PiT-S model in \'Rethinking Spatial Dimensions of Vision Transformers\'
304,2019-06-14,https://identifiers.org/ito:ITO_iCIg4OH3ibf8lngU7,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,82.5,FixResNet-50 Billion model in \'Fixing the train-test resolution discrepancy\'
312,2019-02-14,https://identifiers.org/ito:ITO_iCiQeZr2jAoUs7aY6,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,81.3,MultiGrain PNASNet (300px) model in \'MultiGrain: a unified image embedding for classes and instances\'
320,2019-05-02,https://identifiers.org/ito:ITO_iCmj2NqHPkjN2iMyN,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,84.8,ResNeXt-101 32x16d (semi-weakly sup.) model in \'Billion-scale semi-supervised learning for image classification\'
328,2021-04-26,https://identifiers.org/ito:ITO_iCN0tB0MyViMnUoR0,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,78.6,Visformer-Ti model in \'Visformer: The Vision-friendly Transformer\'
336,2019-02-14,https://identifiers.org/ito:ITO_iCnOOVxsjAIRSs8LX,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,82.7,MultiGrain SENet154 (500px) model in \'MultiGrain: a unified image embedding for classes and instances\'
344,2021-05-28,https://identifiers.org/ito:ITO_iCSYRYwt2rHQLVSPX,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,83.6,ResT-Large model in \'ResT: An Efficient Transformer for Visual Recognition\'
352,2019-04-22,https://identifiers.org/ito:ITO_iCudMZOBkGgHcoO1x,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,79.1,AA-ResNet-152 model in \'Attention Augmented Convolutional Networks\'
360,2020-11-25,https://identifiers.org/ito:ITO_iMHZlwCotdELZ2IVc,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,70.52,"ResNet-18 (tf-KD w/ ResNet-18 teacher) model in \'torchdistill: A Modular, Configuration-Driven Framework for Knowledge Distillation\'"
368,2015-02-11,https://identifiers.org/ito:ITO_iMoUS2yp8Z7dAEFVg,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,74.8,Inception V2 model in \'Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift\'
376,2021-06-03,https://identifiers.org/ito:ITO_iMrNCeINTEuKga9FA,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,81.1,ResNet-152x2-SAM model in \'When Vision Transformers Outperform ResNets without Pretraining or Strong Data Augmentations\'
384,2021-04-22,https://identifiers.org/ito:ITO_iMujFUzeyr6zkcTnv,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,85.4,LV-ViT-M model in \'All Tokens Matter: Token Labeling for Training Better Vision Transformers\'
392,2021-04-02,https://identifiers.org/ito:ITO_iMvOZzdfLFiFNOTvj,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,75.7,LeViT-128S model in \'LeViT: a Vision Transformer in ConvNet\'s Clothing for Faster Inference\'
400,2017-07-06,https://identifiers.org/ito:ITO_iFztTGFYzlXt1BTdd,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,76.43,DPN-68 (224x224) model in \'Dual Path Networks\'
408,2019-08-04,https://identifiers.org/ito:ITO_iG6IKyvheL8qFl1J3,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,75.9,MoGA-A model in \'MoGA: Searching Beyond MobileNetV3\'
416,2020-12-23,https://identifiers.org/ito:ITO_iGejJJi9c9b0p0dqR,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,82.6,DeiT-S model in \'Training data-efficient image transformers & distillation through attention\'
424,2014-06-18,https://identifiers.org/ito:ITO_iGewGOxx6xEEOLDdk,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,72.14,SPPNet model in \'Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition\'
432,2021-03-27,https://identifiers.org/ito:ITO_iGNBvkVY15b0H8aB4,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,82.8,CrossViT-18+ model in \'CrossViT: Cross-Attention Multi-Scale Vision Transformer for Image Classification\'
440,2018-07-31,https://identifiers.org/ito:ITO_iGpWVUdNfyY8qXern,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,75.2,MnasNet-A1 model in \'MnasNet: Platform-Aware Neural Architecture Search for Mobile\'
448,2019-05-28,https://identifiers.org/ito:ITO_iD6dnnhvbwraJGRuI,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,82.6,EfficientNet-B4 model in \'EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks\'
456,2021-02-27,https://identifiers.org/ito:ITO_iD90Eg21zcpLmNwLV,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,83.9,TNT-B model in \'Transformer in Transformer\'
464,2019-12-24,https://identifiers.org/ito:ITO_iDaiFVk6ytVmrIAYW,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,79.4,ResNet-50 (Adversarial Autoaugment) model in \'Adversarial AutoAugment\'
472,2019-11-21,https://identifiers.org/ito:ITO_iDeMhP2pdOjsXkalv,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,77.21,ResnetV2 50 (FRN layer) model in \'Filter Response Normalization Layer: Eliminating Batch Dependence in the Training of Deep Neural Networks\'
480,2019-11-21,https://identifiers.org/ito:ITO_iGyisJDHfnNUbh6Dr,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,78.95,InceptionV3 (FRN layer) model in \'Filter Response Normalization Layer: Eliminating Batch Dependence in the Training of Deep Neural Networks\'
488,2021-06-02,https://identifiers.org/ito:ITO_iH1YiSkkksaaAfQla,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,82,Container-Light model in \'Container: Context Aggregation Network\'
496,2021-03-10,https://identifiers.org/ito:ITO_iH4E6srdsXijFv2A9,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,77.6,RedNet-38 model in \'Involution: Inverting the Inherence of Convolution for Visual Recognition\'
504,2019-12-24,https://identifiers.org/ito:ITO_iHBImWe07gksHkm53,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,81.32,ResNet-200 (Adversarial Autoaugment) model in \'Adversarial AutoAugment\'
512,2019-12-07,https://identifiers.org/ito:ITO_iHDLg6zBwMaxQc4rb,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,69.4,DY-MobileNetV2 ×0.5 model in \'Dynamic Convolution: Attention over Convolution Kernels\'
520,2020-10-22,https://identifiers.org/ito:ITO_iHM9D8XSahT5aLnPF,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,87.76,ViT-L/16 model in \'An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale\'
528,2021-03-22,https://identifiers.org/ito:ITO_iMxEmvQvO03JNP90e,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,82.2,DeepVit-L model in \'DeepViT: Towards Deeper Vision Transformer\'
536,2019-04-02,https://identifiers.org/ito:ITO_iNAco0aFBkVCc8fuc,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,81.23,Res2Net-101 model in \'Res2Net: A New Multi-scale Backbone Architecture\'
544,2019-06-14,https://identifiers.org/ito:ITO_iNkaHLIixlk2v9CKc,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,79.1,FixResNet-50 model in \'Fixing the train-test resolution discrepancy\'
552,2020-06-15,https://identifiers.org/ito:ITO_iNqWUSEITCDNR4TaK,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,79.2,Multiscale DEQ (MDEQ-XL) model in \'Multiscale Deep Equilibrium Models\'
560,2021-03-27,https://identifiers.org/ito:ITO_iNU5t4N5vbnchxNUq,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,81.5,CrossViT-15 model in \'CrossViT: Cross-Attention Multi-Scale Vision Transformer for Image Classification\'
568,2021-04-02,https://identifiers.org/ito:ITO_iNUaQ88jGIY1YDUCc,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,81.6,LeViT-256 model in \'LeViT: a Vision Transformer in ConvNet\'s Clothing for Faster Inference\'
576,2021-05-31,https://identifiers.org/ito:ITO_iO0b7tqyZwuYvDFFq,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,79.74,DVT (T2T-ViT-10) model in \'Not All Images are Worth 16x16 Words: Dynamic Vision Transformers with Adaptive Sequence Length\'
584,2018-07-31,https://identifiers.org/ito:ITO_iO64kIZ0xxxq71YuA,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,76.7,MnasNet-A3 model in \'MnasNet: Platform-Aware Neural Architecture Search for Mobile\'
592,2021-06-07,https://identifiers.org/ito:ITO_iHcXJxckYoasXPicP,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,81,ViTAE-13M model in \'ViTAE: Vision Transformer Advanced by Exploring Intrinsic Inductive Bias\'
600,2019-05-28,https://identifiers.org/ito:ITO_iHoZ1yodySdeyUWw4,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,84.4,EfficientNet-B7 model in \'EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks\'
608,2021-03-25,https://identifiers.org/ito:ITO_iIHN6qV7aCkwoZ1E7,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,84.2,Swin-B (384x384 res) model in \'Swin Transformer: Hierarchical Vision Transformer using Shifted Windows\'
616,2021-01-11,https://identifiers.org/ito:ITO_iIODuDp8ZutG4xKcW,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,78.78,RepVGG-B2 model in \'RepVGG: Making VGG-style ConvNets Great Again\'
624,2021-06-09,https://identifiers.org/ito:ITO_iIQXJhIVAqn5V1IE9,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,82.8,FunMatch - T384+224 (ResNet-50) model in \'Knowledge distillation: A good teacher is patient and consistent\'
632,2018-11-16,https://identifiers.org/ito:ITO_iO73WFU3XoewjDz0B,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,84.4,GPIPE model in \'GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism\'
640,2021-01-07,https://identifiers.org/ito:ITO_iO82wZ4OWandLPQwi,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,77,SSAL-Resnet50 model in \'Contextual Classification Using Self-Supervised Auxiliary Models for Deep Neural Networks\'
648,2021-01-27,https://identifiers.org/ito:ITO_iOIjCignQIiCff8cc,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,84,BoTNet T6 model in \'Bottleneck Transformers for Visual Recognition\'
656,2019-10-09,https://identifiers.org/ito:ITO_iOt0hAUyz9T4QzgeQ,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,72.1,ResNet-50 model in \'On the adequacy of untuned warmup for adaptive optimization\'
664,2018-01-13,https://identifiers.org/ito:ITO_iOtIKew1sZ6nUUcdi,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,74.7,MobileNetV2 (1.4) model in \'MobileNetV2: Inverted Residuals and Linear Bottlenecks\'
672,2021-05-31,https://identifiers.org/ito:ITO_iP0lQJR7o9Ef6J2Dl,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,78.48,DVT (T2T-ViT-7) model in \'Not All Images are Worth 16x16 Words: Dynamic Vision Transformers with Adaptive Sequence Length\'
680,2020-09-29,https://identifiers.org/ito:ITO_iP3azVg0O2Zskff0W,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,80.22,iAFF-ResNeXt-50-32x4d model in \'Attentional Feature Fusion\'
688,2019-10-07,https://identifiers.org/ito:ITO_iPARVqrzZCFb9pwR8,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,78.5,ResNet-50-DW (Deformable Kernels) model in \'Deformable Kernels: Adapting Effective Receptive Fields for Object Deformation\'
696,2021-03-29,https://identifiers.org/ito:ITO_iITUTvnCxzzXzROaO,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,76.3,ViL-Tiny model in \'Multi-Scale Vision Longformer: A New Vision Transformer for High-Resolution Image Encoding\'
704,2018-03-14,https://identifiers.org/ito:ITO_iJED6fBR9VOLQR9AE,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,78.44,DenseNet-161 + SWA model in \'Averaging Weights Leads to Wider Optima and Better Generalization\'
712,2021-01-11,https://identifiers.org/ito:ITO_iJMzouAHkovz5LjNH,https://identifiers.org/ito:ITO_37207,ImageNet - Image Classification benchmarking,https://identifiers.org/ito:ITO_04857,Top 1 Accuracy,78.5,RepVGG-B2g4 model in \'RepVGG: Making VGG-style ConvNets Great Again\'
