,top_level_class,top_level_class_label,task_label,year,level_4,result
74,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Object Tracking,2019,2,2
75,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Object Tracking,2020,3,2
76,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Object Tracking,2020,0,1
77,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Object Tracking,2021,1,1
78,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation,2014,0,2
79,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation,2016,1,2
80,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation,2017,1,2
81,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation,2019,1,2
82,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation,2019,0,1
83,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation,2020,1,3
84,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation,2020,0,1
85,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation,2021,1,3
86,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation,2021,3,1
87,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation (absolute),2019,0,2
88,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation (absolute),2020,1,1
89,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation (absolute),2020,3,1
90,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation (absolute),2021,3,1
91,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation (root-relative),2017,0,1
92,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation (root-relative),2019,0,1
93,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation (root-relative),2019,1,1
94,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation (root-relative),2020,1,2
95,https://identifiers.org/ito:ITO_00101,Vision process,3D Multi-Person Pose Estimation (root-relative),2021,3,2
96,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Classification,2016,0,1
97,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Classification,2017,0,2
98,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Classification,2017,2,1
99,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Classification,2018,3,2
100,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Classification,2018,2,1
101,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Classification,2019,2,1
102,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Classification,2020,3,1
103,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Classification,2021,0,2
104,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2015,0,1
105,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2016,0,3
106,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2016,1,1
107,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2017,0,18
108,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2017,1,4
109,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2018,1,10
110,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2018,0,1
111,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2018,3,1
112,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2019,0,21
113,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2019,1,19
114,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2019,2,2
115,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2020,3,21
116,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2020,1,19
117,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2020,0,7
118,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2020,2,3
119,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2021,3,11
120,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2021,2,10
121,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2021,1,8
122,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Detection,2021,0,1
123,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Recognition,2016,0,1
124,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Recognition,2017,2,1
125,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Recognition,2020,0,3
126,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Recognition,2020,2,1
127,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Recognition,2021,3,4
128,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Reconstruction,2016,0,2
129,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Reconstruction,2017,2,1
130,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Reconstruction,2018,1,1
131,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Reconstruction,2018,2,1
132,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Reconstruction,2019,1,2
133,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Reconstruction,2020,1,1
134,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Reconstruction,2020,3,1
135,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Reconstruction,2021,3,1
136,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Reconstruction From A Single Image,2020,0,6
137,https://identifiers.org/ito:ITO_00101,Vision process,3D Object Reconstruction From A Single Image,2021,3,6
138,https://identifiers.org/ito:ITO_00101,Vision process,3D Part Segmentation,2016,0,2
139,https://identifiers.org/ito:ITO_00101,Vision process,3D Part Segmentation,2017,1,2
140,https://identifiers.org/ito:ITO_00101,Vision process,3D Part Segmentation,2018,1,2
141,https://identifiers.org/ito:ITO_00101,Vision process,3D Part Segmentation,2019,1,2
142,https://identifiers.org/ito:ITO_00101,Vision process,3D Part Segmentation,2020,1,2
143,https://identifiers.org/ito:ITO_00101,Vision process,3D Part Segmentation,2021,2,2
144,https://identifiers.org/ito:ITO_00101,Vision process,3D Point Cloud Classification,2014,0,1
145,https://identifiers.org/ito:ITO_00101,Vision process,3D Point Cloud Classification,2015,0,1
146,https://identifiers.org/ito:ITO_00101,Vision process,3D Point Cloud Classification,2016,0,2
147,https://identifiers.org/ito:ITO_00101,Vision process,3D Point Cloud Classification,2016,1,1
148,https://identifiers.org/ito:ITO_00101,Vision process,3D Point Cloud Classification,2016,2,1
149,https://identifiers.org/ito:ITO_00101,Vision process,3D Point Cloud Classification,2017,1,3
150,https://identifiers.org/ito:ITO_00101,Vision process,3D Point Cloud Classification,2018,1,3
151,https://identifiers.org/ito:ITO_00101,Vision process,3D Point Cloud Classification,2018,3,1
152,https://identifiers.org/ito:ITO_00101,Vision process,3D Point Cloud Classification,2019,1,3
153,https://identifiers.org/ito:ITO_00101,Vision process,3D Point Cloud Classification,2020,2,2
154,https://identifiers.org/ito:ITO_00101,Vision process,3D Point Cloud Classification,2020,1,1
155,https://identifiers.org/ito:ITO_00101,Vision process,3D Point Cloud Classification,2021,1,2
156,https://identifiers.org/ito:ITO_00101,Vision process,3D Point Cloud Classification,2021,2,1
157,https://identifiers.org/ito:ITO_00101,Vision process,3D Pose Estimation,2019,0,2
158,https://identifiers.org/ito:ITO_00101,Vision process,3D Pose Estimation,2020,3,2
159,https://identifiers.org/ito:ITO_00101,Vision process,3D Pose Estimation,2020,0,1
160,https://identifiers.org/ito:ITO_00101,Vision process,3D Pose Estimation,2021,1,1
161,https://identifiers.org/ito:ITO_00101,Vision process,3D Reconstruction,2016,0,2
162,https://identifiers.org/ito:ITO_00101,Vision process,3D Reconstruction,2017,2,1
163,https://identifiers.org/ito:ITO_00101,Vision process,3D Reconstruction,2018,1,2
164,https://identifiers.org/ito:ITO_00101,Vision process,3D Reconstruction,2019,3,2
165,https://identifiers.org/ito:ITO_00101,Vision process,3D Reconstruction,2020,0,3
166,https://identifiers.org/ito:ITO_00101,Vision process,3D Reconstruction,2021,3,3
167,https://identifiers.org/ito:ITO_00101,Vision process,3D Reconstruction,2021,0,2
168,https://identifiers.org/ito:ITO_00101,Vision process,3D Room Layouts From A Single RGB Panorama,2018,0,3
169,https://identifiers.org/ito:ITO_00101,Vision process,3D Room Layouts From A Single RGB Panorama,2019,1,2
170,https://identifiers.org/ito:ITO_00101,Vision process,3D Room Layouts From A Single RGB Panorama,2019,3,1
171,https://identifiers.org/ito:ITO_00101,Vision process,3D Room Layouts From A Single RGB Panorama,2020,3,2
172,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Instance Segmentation,2017,0,2
173,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Instance Segmentation,2018,1,1
174,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Instance Segmentation,2018,3,1
175,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Instance Segmentation,2019,1,1
176,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Instance Segmentation,2020,1,1
177,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Instance Segmentation,2021,3,1
178,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Segmentation,2016,0,1
179,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Segmentation,2017,1,1
180,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Segmentation,2018,0,1
181,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Segmentation,2018,1,1
182,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Segmentation,2019,0,2
183,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Segmentation,2019,1,1
184,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Segmentation,2020,1,2
185,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Segmentation,2020,3,2
186,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Segmentation,2020,0,1
187,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Segmentation,2021,0,2
188,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Segmentation,2021,3,2
189,https://identifiers.org/ito:ITO_00101,Vision process,3D Semantic Segmentation,2021,1,1
190,https://identifiers.org/ito:ITO_00101,Vision process,3D Shape Classification,2016,0,6
191,https://identifiers.org/ito:ITO_00101,Vision process,3D Shape Classification,2017,1,6
192,https://identifiers.org/ito:ITO_00101,Vision process,3D Shape Classification,2018,1,6
193,https://identifiers.org/ito:ITO_00101,Vision process,3D Shape Classification,2019,3,6
194,https://identifiers.org/ito:ITO_00101,Vision process,3D Shape Modeling,2019,0,6
195,https://identifiers.org/ito:ITO_00101,Vision process,3D Shape Modeling,2020,3,6
196,https://identifiers.org/ito:ITO_00101,Vision process,3D Shape Reconstruction,2018,0,3
197,https://identifiers.org/ito:ITO_00101,Vision process,3D Shape Reconstruction,2019,3,3
198,https://identifiers.org/ito:ITO_00101,Vision process,4D Spatio Temporal Semantic Segmentation,2019,0,1
199,https://identifiers.org/ito:ITO_00101,Vision process,4D Spatio Temporal Semantic Segmentation,2020,3,1
200,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation,2017,0,1
201,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation,2019,0,5
202,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation,2019,1,1
203,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation,2020,3,5
204,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation,2020,2,1
205,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation,2021,3,1
206,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGB,2017,0,8
207,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGB,2018,1,5
208,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGB,2018,0,4
209,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGB,2018,3,3
210,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGB,2019,3,5
211,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGB,2019,1,3
212,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGB,2019,0,2
213,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGB,2019,2,1
214,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGB,2020,3,3
215,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGB,2020,1,2
216,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGB,2020,2,1
217,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGB,2021,2,3
218,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGBD,2017,0,8
219,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGBD,2018,3,5
220,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGBD,2018,0,1
221,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGBD,2018,1,1
222,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGBD,2019,0,12
223,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGBD,2019,1,3
224,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGBD,2019,3,1
225,https://identifiers.org/ito:ITO_00101,Vision process,6D Pose Estimation using RGBD,2020,3,15
226,https://identifiers.org/ito:ITO_00101,Vision process,Abnormal Event Detection In Video,2016,0,3
227,https://identifiers.org/ito:ITO_00101,Vision process,Abnormal Event Detection In Video,2017,1,3
228,https://identifiers.org/ito:ITO_00101,Vision process,Abnormal Event Detection In Video,2017,0,1
229,https://identifiers.org/ito:ITO_00101,Vision process,Abnormal Event Detection In Video,2018,1,3
230,https://identifiers.org/ito:ITO_00101,Vision process,Abnormal Event Detection In Video,2018,3,1
231,https://identifiers.org/ito:ITO_00101,Vision process,Abnormal Event Detection In Video,2020,1,3
232,https://identifiers.org/ito:ITO_00101,Vision process,Abnormal Event Detection In Video,2021,3,3
233,https://identifiers.org/ito:ITO_00101,Vision process,Accident Anticipation,2020,0,2
234,https://identifiers.org/ito:ITO_00101,Vision process,Accident Anticipation,2021,1,2
235,https://identifiers.org/ito:ITO_00101,Vision process,Action Anticipation,2017,0,12
236,https://identifiers.org/ito:ITO_00101,Vision process,Action Anticipation,2018,1,10
237,https://identifiers.org/ito:ITO_00101,Vision process,Action Anticipation,2018,2,2
238,https://identifiers.org/ito:ITO_00101,Vision process,Action Anticipation,2019,1,12
239,https://identifiers.org/ito:ITO_00101,Vision process,Action Anticipation,2021,1,12
240,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2014,0,1
241,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2016,0,5
242,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2016,1,1
243,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2017,1,6
244,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2017,0,5
245,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2018,1,7
246,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2018,0,1
247,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2019,1,10
248,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2019,0,6
249,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2019,2,1
250,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2019,3,1
251,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2020,3,7
252,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2020,1,5
253,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2020,2,5
254,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2020,0,3
255,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2021,1,11
256,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2021,0,2
257,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2021,2,1
258,https://identifiers.org/ito:ITO_00101,Vision process,Action Classification,2021,3,1
259,https://identifiers.org/ito:ITO_00101,Vision process,Action Detection,2015,0,1
260,https://identifiers.org/ito:ITO_00101,Vision process,Action Detection,2016,0,1
261,https://identifiers.org/ito:ITO_00101,Vision process,Action Detection,2017,0,2
262,https://identifiers.org/ito:ITO_00101,Vision process,Action Detection,2017,1,2
263,https://identifiers.org/ito:ITO_00101,Vision process,Action Detection,2018,1,2
264,https://identifiers.org/ito:ITO_00101,Vision process,Action Detection,2019,1,3
265,https://identifiers.org/ito:ITO_00101,Vision process,Action Detection,2019,0,1
266,https://identifiers.org/ito:ITO_00101,Vision process,Action Detection,2020,1,3
267,https://identifiers.org/ito:ITO_00101,Vision process,Action Detection,2020,0,2
268,https://identifiers.org/ito:ITO_00101,Vision process,Action Detection,2020,3,1
269,https://identifiers.org/ito:ITO_00101,Vision process,Action Detection,2021,3,4
270,https://identifiers.org/ito:ITO_00101,Vision process,Action Detection,2021,0,2
271,https://identifiers.org/ito:ITO_00101,Vision process,Action Detection,2021,1,2
272,https://identifiers.org/ito:ITO_00101,Vision process,Action Quality Assessment,2018,0,1
273,https://identifiers.org/ito:ITO_00101,Vision process,Action Quality Assessment,2019,0,3
274,https://identifiers.org/ito:ITO_00101,Vision process,Action Quality Assessment,2019,3,1
275,https://identifiers.org/ito:ITO_00101,Vision process,Action Quality Assessment,2020,3,3
276,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2012,0,1
277,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2014,0,5
278,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2014,1,1
279,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2015,0,6
280,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2015,1,4
281,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2015,3,1
282,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2016,1,5
283,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2016,0,2
284,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2016,2,2
285,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2017,1,10
286,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2017,0,8
287,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2018,0,10
288,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2018,1,10
289,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2018,2,3
290,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2018,3,3
291,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2019,1,15
292,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2019,0,11
293,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2019,2,5
294,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2019,3,4
295,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2020,3,20
296,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2020,0,12
297,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2020,1,11
298,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2020,2,1
299,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2021,3,13
300,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2021,1,10
301,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2021,0,4
302,https://identifiers.org/ito:ITO_00101,Vision process,Action Recognition,2021,2,4
303,https://identifiers.org/ito:ITO_00101,Vision process,Action Segmentation,2016,0,4
304,https://identifiers.org/ito:ITO_00101,Vision process,Action Segmentation,2018,1,4
305,https://identifiers.org/ito:ITO_00101,Vision process,Action Segmentation,2018,0,1
306,https://identifiers.org/ito:ITO_00101,Vision process,Action Segmentation,2019,0,10
307,https://identifiers.org/ito:ITO_00101,Vision process,Action Segmentation,2019,1,5
308,https://identifiers.org/ito:ITO_00101,Vision process,Action Segmentation,2020,1,15
309,https://identifiers.org/ito:ITO_00101,Vision process,Action Segmentation,2021,1,9
310,https://identifiers.org/ito:ITO_00101,Vision process,Action Segmentation,2021,2,6
311,https://identifiers.org/ito:ITO_00101,Vision process,Action Spotting,2018,0,1
312,https://identifiers.org/ito:ITO_00101,Vision process,Action Spotting,2019,1,1
313,https://identifiers.org/ito:ITO_00101,Vision process,Action Spotting,2020,0,1
314,https://identifiers.org/ito:ITO_00101,Vision process,Action Spotting,2020,2,1
315,https://identifiers.org/ito:ITO_00101,Vision process,Action Spotting,2021,1,1
316,https://identifiers.org/ito:ITO_00101,Vision process,Action Spotting,2021,3,1
317,https://identifiers.org/ito:ITO_00101,Vision process,Action Triplet Recognition,2020,0,1
