benchmark_parent_label,first_date,n_variant,n_row_sum,n_row_min,n_row_max,n_row_mean,n_unique_paper_sum,n_paper_min,n_paper_max,n_paper_mean,n_tasks,tasks,url
Market-1501,2014-06-17,5,157,7,99,31.4,102,7.0,79.0,27.4,5,"{'Generalizable Person Re-identification', 'Pose Transfer', 'Person Re-Identification', 'Unsupervised Domain Adaptation', 'Unsupervised Person Re-Identification'}",https://paperswithcode.com/dataset/market-1501
UCF101,2012-12-03,5,146,2,123,29.2,101,2.0,88.0,21.4,6,"{'Self-Supervised Action Recognition', 'Temporal Action Localization', 'Video Frame Interpolation', 'Video Generation', 'Action Detection', 'Action Recognition'}",https://paperswithcode.com/dataset/ucf101
Human3.6M,2013-12-12,1,121,121,121,121.0,79,79.0,79.0,79.0,9,"{'Weakly-supervised 3D Human Pose Estimation', '3D Absolute Human Pose Estimation', '3D Pose Estimation', 'Human Pose Forecasting', 'Video Prediction', '3D Human Pose Estimation', 'Monocular 3D Human Pose Estimation', 'Human Action Generation', 'Pose Retrieval'}",https://paperswithcode.com/dataset/human3-6m
STL-10,2007-12-01,3,163,1,155,54.333333333333336,75,1.0,74.0,27.333333333333332,8,"{'Fine-Grained Image Classification', 'Semi-Supervised Image Classification', 'Image Classification', 'Self-Supervised Learning', 'Image Clustering', 'Unsupervised Image Classification', 'Out-of-Distribution Detection', 'Image Generation'}",https://paperswithcode.com/dataset/stl-10
HMDB51,2014-06-01,9,113,1,63,12.555555555555555,74,1.0,47.0,9.555555555555555,3,"{'Domain Adaptation', 'Action Recognition', 'Self-Supervised Action Recognition'}",https://paperswithcode.com/dataset/hmdb51
SVHN,2013-01-16,8,106,1,60,13.25,70,1.0,46.0,10.75,5,"{'Semi-Supervised Image Classification', 'Image Classification', 'Sparse Representation-based Classification', 'Domain Adaptation', 'Unsupervised Image Classification'}",https://paperswithcode.com/dataset/svhn
DAVIS 2016,2014-06-01,2,84,10,74,42.0,69,10.0,63.0,36.5,4,"{'Unsupervised Video Object Segmentation', 'Video Salient Object Detection', 'Semi-Supervised Video Object Segmentation', 'Video Object Segmentation'}",https://paperswithcode.com/dataset/davis-2016
DukeMTMC-reID,2014-06-17,4,88,1,77,22.0,69,1.0,62.0,18.25,3,"{'Person Re-Identification', 'Generalizable Person Re-identification', 'Unsupervised Person Re-Identification'}",https://paperswithcode.com/dataset/dukemtmc-reid
Set5,2014-12-31,1,112,112,112,112.0,66,66.0,66.0,66.0,5,"{'3x upscaling - Image Super-Resolution', '2x upscaling - Image Super-Resolution', '8x upscaling - Image Super-Resolution', '4x upscaling - Image Super-Resolution', 'Compressive Sensing'}",https://paperswithcode.com/dataset/set5
miniImageNet,2016-06-13,11,187,1,67,17.0,65,1.0,60.0,14.0,1,{'Few-Shot Image Classification'},https://paperswithcode.com/dataset/miniimagenet-1
Set14,2014-12-31,1,99,99,99,99.0,61,61.0,61.0,61.0,4,"{'3x upscaling - Image Super-Resolution', '4x upscaling - Image Super-Resolution', '8x upscaling - Image Super-Resolution', '2x upscaling - Image Super-Resolution'}",https://paperswithcode.com/dataset/set14
Kinetics,2016-08-02,7,157,1,98,22.428571428571427,61,1.0,51.0,10.571428571428571,6,"{'Self-Supervised Action Recognition', 'Action Classification', 'Video Classification', 'Video Generation', 'Video Prediction', 'Boundary Detection'}",https://paperswithcode.com/dataset/kinetics
Stanford Cars,2015-12-10,3,84,6,72,28.0,60,6.0,54.0,22.0,5,"{'Fine-Grained Image Classification', 'Few-Shot Image Classification', 'Image Classification', 'Image Clustering', 'Image Generation'}",https://paperswithcode.com/dataset/stanford-cars
BSD100,2014-12-31,1,88,88,88,88.0,54,54.0,54.0,54.0,5,"{'3x upscaling - Image Super-Resolution', '2x upscaling - Image Super-Resolution', '16x upscaling - Image Super-Resolution', '8x upscaling - Image Super-Resolution', '4x upscaling - Image Super-Resolution'}",https://paperswithcode.com/dataset/bsd100
ADE20K,2014-11-14,4,98,6,45,24.5,52,6.0,31.0,18.5,3,"{'Semantic Segmentation', 'Image-to-Image Translation', 'Scene Understanding'}",https://paperswithcode.com/dataset/ade20k
Urban100,2014-12-31,7,94,2,71,13.428571428571429,49,1.0,45.0,9.142857142857142,8,"{'3x upscaling - Image Super-Resolution', 'Color Image Denoising', '2x upscaling - Image Super-Resolution', 'Grayscale Image Denoising', '2x upscaling - Compressive Sensing', '8x upscaling - Image Super-Resolution', '16x upscaling - Image Super-Resolution', '4x upscaling - Image Super-Resolution'}",https://paperswithcode.com/dataset/urban100
THUMOS14,2015-11-22,5,70,1,41,14.0,44,1.0,31.0,12.0,6,"{'Action Classification', 'Temporal Action Proposal Generation', 'Temporal Action Localization', 'Weakly-supervised Temporal Action Localization', 'Weakly Supervised Action Localization', 'Action Recognition'}",https://paperswithcode.com/dataset/thumos14-1
ModelNet,2014-06-22,2,53,2,51,26.5,43,2.0,42.0,22.0,3,"{'3D Object Classification', '3D Point Cloud Classification', '3D Object Recognition'}",https://paperswithcode.com/dataset/modelnet
ScanNet,2016-12-02,4,58,1,25,14.5,42,1.0,21.0,12.0,10,"{'3D Instance Segmentation', 'Panoptic Segmentation', '3D Semantic Instance Segmentation', 'Scene Segmentation', 'Surface Normals Estimation', '3D Object Detection', 'Semantic Segmentation', 'Depth Estimation', '3D Reconstruction', 'Scene Recognition'}",https://paperswithcode.com/dataset/scannet
NYUv2,2014-11-18,3,64,1,41,21.333333333333332,42,1.0,33.0,14.666666666666666,8,"{'Instance Segmentation', 'Depth Completion', 'Real-Time Semantic Segmentation', 'Surface Normals Estimation', '3D Object Detection', 'Semantic Segmentation', 'Depth Estimation', 'Monocular Depth Estimation'}",https://paperswithcode.com/dataset/nyuv2
DAVIS 2017,2016-11-16,3,75,1,43,25.0,40,1.0,38.0,23.0,4,"{'Unsupervised Video Object Segmentation', 'Referring Expression Segmentation', 'Semi-Supervised Video Object Segmentation', 'Video Object Segmentation'}",https://paperswithcode.com/dataset/davis-2017
ShapeNet-Part,2016-06-21,1,38,38,38,38.0,38,38.0,38.0,38.0,1,{'3D Part Segmentation'},
Referring Expressions for DAVIS 2016 & 2017,2016-11-16,1,43,43,43,43.0,38,38.0,38.0,38.0,3,"{'Unsupervised Video Object Segmentation', 'Referring Expression Segmentation', 'Semi-Supervised Video Object Segmentation'}",https://paperswithcode.com/dataset/referring-expressions-for-davis-2016-2017
ActivityNet,2015-12-22,3,50,8,27,16.666666666666668,38,6.0,23.0,14.0,6,"{'Action Classification', 'Temporal Action Localization', 'Temporal Action Proposal Generation', 'Video Retrieval', 'Weakly Supervised Action Localization', 'Action Recognition'}",https://paperswithcode.com/dataset/activitynet
GTA5,2014-09-04,1,49,49,49,49.0,38,38.0,38.0,38.0,3,"{'Semantic Segmentation', 'Image-to-Image Translation', 'Synthetic-to-Real Translation'}",https://paperswithcode.com/dataset/gta5
SYNTHIA,2016-12-08,4,55,1,50,13.75,37,1.0,34.0,9.5,5,"{'Novel View Synthesis', 'Semantic Segmentation', 'Image-to-Image Translation', 'Synthetic-to-Real Translation', 'Domain Adaptation'}",https://paperswithcode.com/dataset/synthia
PASCAL Context,2014-11-14,1,43,43,43,43.0,35,35.0,35.0,35.0,1,{'Semantic Segmentation'},https://paperswithcode.com/dataset/pascal-context
MPII Human Pose,2014-11-16,2,39,3,36,19.5,35,3.0,33.0,18.0,1,{'Pose Estimation'},https://paperswithcode.com/dataset/mpii-human-pose
S3DIS,2016-12-02,2,47,14,33,23.5,35,14.0,30.0,22.0,3,"{'Semantic Segmentation', '3D Instance Segmentation', '3D Semantic Segmentation'}",https://paperswithcode.com/dataset/s3dis
CUHK03,2016-04-07,5,61,2,19,12.2,34,1.0,15.0,9.8,3,"{'Face Sketch Synthesis', 'Person Re-Identification', 'Blur Detection Dataset - Defocus Estimation'}",https://paperswithcode.com/dataset/cuhk03
JHMDB,2014-11-21,5,42,2,27,8.4,33,2.0,24.0,7.6,4,"{'Temporal Action Localization', 'Referring Expression Segmentation', 'Skeleton Based Action Recognition', 'Pose Estimation'}",https://paperswithcode.com/dataset/jhmdb
FFHQ,2014-12-31,3,52,13,25,17.333333333333332,32,10.0,23.0,15.0,4,"{'Image Inpainting', 'Facial Inpainting', '4x upscaling - Image Super-Resolution', 'Image Generation'}",https://paperswithcode.com/dataset/ffhq
Oxford 102 Flower,2016-05-17,4,60,1,43,15.0,32,1.0,23.0,9.0,6,"{'Fine-Grained Image Classification', 'Few-Shot Image Classification', 'Image Classification', '0-Shot - Few-Shot Image Classification', 'Text-to-Image Generation', 'Image Generation'}",https://paperswithcode.com/dataset/oxford-102-flower
ICDAR 2013,2014-06-09,2,32,16,16,16.0,32,16.0,16.0,16.0,2,"{'Scene Text Recognition', 'Scene Text Detection'}",https://paperswithcode.com/dataset/icdar-2013
Something-Something V2,2017-06-13,1,51,51,51,51.0,32,32.0,32.0,32.0,2,"{'Video Classification', 'Action Recognition'}",https://paperswithcode.com/dataset/something-something-v2
Charades,2014-06-09,1,46,46,46,46.0,32,32.0,32.0,32.0,4,"{'Weakly Supervised Object Detection', 'Action Detection', 'Video Classification', 'Action Classification'}",https://paperswithcode.com/dataset/charades
LFW,2009-01-01,3,34,2,27,11.333333333333334,31,1.0,27.0,10.666666666666666,4,"{'Face Verification', 'Face Recognition', '3D FACE MODELING', 'Face Quality Assessement'}",https://paperswithcode.com/dataset/lfw
Office-31,2015-12-10,1,34,34,34,34.0,31,31.0,31.0,31.0,3,"{'Domain Adaptation', 'Partial Domain Adaptation', 'Unsupervised Domain Adaptation'}",https://paperswithcode.com/dataset/office-31
tieredImageNet,2017-03-09,4,91,13,36,22.75,31,7.0,30.0,17.25,2,"{'Image Classification', 'Few-Shot Image Classification'}",https://paperswithcode.com/dataset/tieredimagenet
FGVC-Aircraft,2016-11-29,1,33,33,33,33.0,30,30.0,30.0,30.0,1,{'Fine-Grained Image Classification'},https://paperswithcode.com/dataset/fgvc-aircraft-1
Visual Question Answering v2.0,2016-06-06,2,88,22,66,44.0,29,21.0,22.0,21.5,1,{'Visual Question Answering'},https://paperswithcode.com/dataset/visual-question-answering-v2-0
COCO-Stuff,2014-11-14,8,37,1,14,4.625,28,1.0,11.0,4.0,5,"{'Real-Time Semantic Segmentation', 'Semantic Segmentation', 'Image-to-Image Translation', 'Unsupervised Semantic Segmentation', 'Layout-to-Image Generation'}",https://paperswithcode.com/dataset/coco-stuff
CelebA-HQ,2017-10-27,6,37,1,13,6.166666666666667,27,1.0,7.0,5.166666666666667,6,"{'Blind Face Restoration', 'Image-to-Image Translation', 'Multimodal Unsupervised Image-To-Image Translation', 'Image Quality Assessment', 'Image Super-Resolution', 'Image Generation'}",https://paperswithcode.com/dataset/celeba-hq
SemanticKITTI,2016-12-02,1,33,33,33,33.0,27,27.0,27.0,27.0,4,"{'Real-Time 3D Semantic Segmentation', '3D Semantic Segmentation', 'Panoptic Segmentation', 'LIDAR Semantic Segmentation'}",https://paperswithcode.com/dataset/semantickitti
ICDAR 2015,2016-04-14,1,35,35,35,35.0,26,26.0,26.0,26.0,1,{'Scene Text Detection'},https://paperswithcode.com/dataset/icdar-2015
300W,2015-11-23,2,35,1,34,17.5,25,1.0,25.0,13.0,4,"{'Unsupervised Facial Landmark Detection', '3D Reconstruction', 'Facial Landmark Detection', 'Face Alignment'}",https://paperswithcode.com/dataset/300w
Something-Something V1,2017-11-21,1,48,48,48,48.0,25,25.0,25.0,25.0,2,"{'Video Classification', 'Action Recognition'}",https://paperswithcode.com/dataset/something-something-v1
Office-Home,2012-12-01,2,31,5,26,15.5,25,1.0,25.0,13.0,4,"{'Domain Adaptation', 'Domain Generalization', 'Partial Domain Adaptation', 'Unsupervised Domain Adaptation'}",https://paperswithcode.com/dataset/office-home
MSMT17,2016-11-17,4,34,2,22,8.5,24,2.0,18.0,7.5,3,"{'Person Re-Identification', 'Generalizable Person Re-identification', 'Unsupervised Person Re-Identification'}",https://paperswithcode.com/dataset/msmt17
WebVision,2016-09-13,3,29,1,20,9.666666666666666,24,1.0,18.0,9.0,1,{'Image Classification'},https://paperswithcode.com/dataset/webvision-database
NJU2K,2016-06-01,1,25,25,25,25.0,24,24.0,24.0,24.0,1,{'RGB-D Salient Object Detection'},https://paperswithcode.com/dataset/nju2k
CelebA,2017-11-17,7,30,1,12,4.285714285714286,24,1.0,11.0,3.857142857142857,4,"{'Image Classification', 'Unsupervised Facial Landmark Detection', 'Face Alignment', 'Image Generation'}",https://paperswithcode.com/dataset/celeba
Clothing1M,2017-11-20,1,25,25,25,25.0,23,23.0,23.0,23.0,1,{'Image Classification'},https://paperswithcode.com/dataset/clothing1m
USPS,2012-08-25,3,35,11,13,11.666666666666666,23,10.0,12.0,10.666666666666666,2,"{'Domain Adaptation', 'Image Clustering'}",https://paperswithcode.com/dataset/usps
WIDER FACE,2014-07-15,3,55,9,25,18.333333333333332,23,9.0,23.0,17.0,1,{'Face Detection'},https://paperswithcode.com/dataset/wider-face-1
Flickr30k,2014-12-07,3,28,1,15,9.333333333333334,23,1.0,14.0,9.0,5,"{'Image Retrieval', 'Phrase Grounding', 'Text-Image Retrieval', 'Image Captioning', 'Cross-Modal Retrieval'}",https://paperswithcode.com/dataset/flickr30k
AFLW,2016-09-21,8,28,1,8,3.5,22,1.0,7.0,3.375,5,"{'Low-Light Image Enhancement', 'Unsupervised Facial Landmark Detection', 'Head Pose Estimation', 'Face Alignment', 'Facial Landmark Detection'}",https://paperswithcode.com/dataset/aflw
IEMOCAP,2017-07-01,1,29,29,29,29.0,22,22.0,22.0,22.0,3,"{'Multimodal Emotion Recognition', 'Speech Emotion Recognition', 'Emotion Recognition in Conversation'}",https://paperswithcode.com/dataset/iemocap
Manga109,2014-12-31,2,54,8,46,27.0,22,1.0,21.0,11.0,6,"{'3x upscaling - Image Super-Resolution', 'Object Detection', '2x upscaling - Image Super-Resolution', '16x upscaling - Image Super-Resolution', '8x upscaling - Image Super-Resolution', '4x upscaling - Image Super-Resolution'}",https://paperswithcode.com/dataset/manga109
Fashion-MNIST,2012-08-25,2,23,2,21,11.5,22,2.0,20.0,11.0,5,"{'Image Classification', 'Image Clustering', 'Domain Generalization', 'Out-of-Distribution Detection', 'Image Generation'}",https://paperswithcode.com/dataset/fashion-mnist
SUN RGB-D,2014-12-22,3,26,4,12,8.666666666666666,22,4.0,10.0,8.0,6,"{'Object Detection', 'Monocular 3D Object Detection', 'Scene Segmentation', '3D Object Detection', 'Semantic Segmentation', 'Scene Recognition'}",https://paperswithcode.com/dataset/sun-rgb-d
SBU,2016-06-30,1,26,26,26,26.0,22,22.0,22.0,22.0,4,"{'RGB Salient Object Detection', 'Shadow Detection', 'Skeleton Based Action Recognition', 'Human Interaction Recognition'}",
Caltech,2014-11-29,1,27,27,27,27.0,22,22.0,22.0,22.0,1,{'Pedestrian Detection'},
iNaturalist,2017-07-20,3,36,1,27,12.0,22,1.0,14.0,7.666666666666667,4,"{'Image Classification', 'Fine-Grained Image Classification', 'Few-Shot Image Classification', 'Image Retrieval'}",https://paperswithcode.com/dataset/inaturalist
HICO-DET,2015-05-05,1,27,27,27,27.0,21,21.0,21.0,21.0,2,"{'Weakly Supervised Object Detection', 'Human-Object Interaction Detection'}",https://paperswithcode.com/dataset/hico-det
MOTChallenge,2015-04-09,4,43,2,20,10.75,21,2.0,18.0,10.25,2,"{'Multi-Object Tracking', 'Online Multi-Object Tracking'}",https://paperswithcode.com/dataset/motchallenge
GoPro,2016-12-07,1,23,23,23,23.0,21,21.0,21.0,21.0,1,{'Deblurring'},https://paperswithcode.com/dataset/gopro
LineMOD,2017-03-31,1,26,26,26,26.0,20,20.0,20.0,20.0,3,"{'6D Pose Estimation using RGB', '6D Pose Estimation', '6D Pose Estimation using RGBD'}",
MSR-VTT,2016-09-26,3,28,6,11,9.333333333333334,20,6.0,11.0,8.666666666666666,3,"{'Visual Question Answering', 'Video Retrieval', 'Video Captioning'}",https://paperswithcode.com/dataset/msr-vtt
Kinetics-Skeleton dataset,2017-04-14,1,21,21,21,21.0,19,19.0,19.0,19.0,1,{'Skeleton Based Action Recognition'},
OMNIGLOT,2016-06-07,1,73,73,73,73.0,19,19.0,19.0,19.0,8,"{'5-Shot, 423 way - Few-Shot Image Classification', '5-Shot, 5-way - Few-Shot Image Classification', '5-Shot, 20-way - Few-Shot Image Classification', '1-Shot, 423 way - Few-Shot Image Classification', '1-Shot, 20-way - Few-Shot Image Classification', '1-Shot, 5-way - Few-Shot Image Classification', '1-Shot, 1000 way - Few-Shot Image Classification', '5-Shot, 1000 way - Few-Shot Image Classification'}",
3DPW,2017-12-18,1,19,19,19,19.0,19,19.0,19.0,19.0,1,{'3D Human Pose Estimation'},https://paperswithcode.com/dataset/3dpw
BSD,2015-08-12,23,83,1,16,3.608695652173913,19,1.0,13.0,3.260869565217391,4,"{'Salt-And-Pepper Noise Removal', 'Color Image Denoising', 'Compressive Sensing', 'Grayscale Image Denoising'}",https://paperswithcode.com/dataset/bsd
AFLW2000-3D,2014-06-01,2,29,14,15,14.5,19,10.0,11.0,10.5,4,"{'3D Face Reconstruction', 'Head Pose Estimation', 'Facial Landmark Detection', 'Face Alignment'}",https://paperswithcode.com/dataset/aflw2000-3d
CamVid,2014-12-22,1,38,38,38,38.0,19,19.0,19.0,19.0,3,"{'Semantic Segmentation', 'Real-Time Semantic Segmentation', 'Video Semantic Segmentation'}",https://paperswithcode.com/dataset/camvid
VisDial,2016-05-31,3,78,3,57,26.0,19,1.0,15.0,10.0,1,{'Visual Dialog'},https://paperswithcode.com/dataset/visdial
DUTS,2016-03-07,2,23,3,20,11.5,19,3.0,17.0,10.0,3,"{'RGB Salient Object Detection', 'Salient Object Detection', 'Saliency Detection'}",https://paperswithcode.com/dataset/duts
YouTube-VOS,2016-11-16,1,22,22,22,22.0,18,18.0,18.0,18.0,4,"{'Semi-Supervised Video Object Segmentation', 'Video Inpainting', 'One-shot visual object segmentation', 'Visual Object Tracking'}",
Stanford Dogs,2016-04-13,3,24,3,15,8.0,18,3.0,12.0,7.0,4,"{'Fine-Grained Image Classification', 'Few-Shot Image Classification', 'Image Clustering', 'Image Generation'}",https://paperswithcode.com/dataset/stanford-dogs
CIFAR-FS,2017-11-16,3,44,2,21,14.666666666666666,18,1.0,17.0,11.666666666666666,3,"{'1-Shot Learning - Few-Shot Image Classification', 'Few-Shot Image Classification', '5-Shot Learning - Few-Shot Image Classification'}",https://paperswithcode.com/dataset/cifar-fs
LSUN,2017-06-26,8,36,1,15,4.5,18,1.0,10.0,3.625,1,{'Image Generation'},https://paperswithcode.com/dataset/lsun
Tiny ImageNet,2013-12-20,3,18,3,10,6.0,17,3.0,10.0,6.0,3,"{'Image Classification', 'Weakly-Supervised Object Localization', 'Image Clustering'}",https://paperswithcode.com/dataset/tiny-imagenet
UCF CC 50,2013-06-01,1,18,18,18,18.0,17,17.0,17.0,17.0,1,{'Crowd Counting'},
TuSimple,2017-08-08,1,25,25,25,25.0,17,17.0,17.0,17.0,1,{'Lane Detection'},https://paperswithcode.com/dataset/tusimple
MELD,2017-07-01,1,19,19,19,19.0,17,17.0,17.0,17.0,1,{'Emotion Recognition in Conversation'},https://paperswithcode.com/dataset/meld
ShanghaiTech,2015-06-01,2,36,18,18,18.0,17,17.0,17.0,17.0,1,{'Crowd Counting'},https://paperswithcode.com/dataset/shanghaitech
CARS196,2017-06-23,1,19,19,19,19.0,17,17.0,17.0,17.0,2,"{'Metric Learning', 'Image Retrieval'}",
VOT2017,2016-11-25,2,18,5,13,9.0,17,5.0,12.0,8.5,1,{'Visual Object Tracking'},https://paperswithcode.com/dataset/vot2017
IJB-A,2015-07-26,1,18,18,18,18.0,16,16.0,16.0,16.0,2,"{'Face Verification', 'Face Identification'}",https://paperswithcode.com/dataset/ijb-a
nuScenes,2019-03-26,3,163,1,161,54.333333333333336,16,1.0,15.0,5.666666666666667,7,"{'3D Multi-Object Tracking', 'Instance Segmentation', 'Trajectory Prediction', 'Object Detection', '3D Semantic Segmentation', 'LIDAR Semantic Segmentation', '3D Object Detection'}",https://paperswithcode.com/dataset/nuscenes
Stanford Drone,2016-06-01,1,17,17,17,17.0,16,16.0,16.0,16.0,1,{'Trajectory Prediction'},
DAVIS,2016-03-13,7,26,2,9,3.7142857142857144,16,2.0,7.0,3.4285714285714284,5,"{'Interactive Segmentation', 'Interactive Video Object Segmentation', 'Video Inpainting', 'Video Denoising', 'Video Object Detection'}",https://paperswithcode.com/dataset/davis
AffectNet,2017-08-14,1,24,24,24,24.0,16,16.0,16.0,16.0,1,{'Facial Expression Recognition'},https://paperswithcode.com/dataset/affectnet
YouTube Faces DB,2014-12-03,1,16,16,16,16.0,16,16.0,16.0,16.0,2,"{'Face Verification', 'Image Clustering'}",
SVT,2014-06-09,1,16,16,16,16.0,16,16.0,16.0,16.0,1,{'Scene Text Recognition'},https://paperswithcode.com/dataset/svt
Visual Genome,2015-11-24,6,21,1,10,3.5,16,1.0,9.0,3.3333333333333335,5,"{'Phrase Grounding', 'Object Detection', 'Scene Graph Generation', 'Visual Question Answering', 'Layout-to-Image Generation'}",https://paperswithcode.com/dataset/visual-genome
MPI-INF-3DHP,2017-05-03,1,21,21,21,21.0,16,16.0,16.0,16.0,2,"{'3D Human Pose Estimation', 'Pose Retrieval'}",https://paperswithcode.com/dataset/mpi-inf-3dhp
Vid4,2014-12-31,1,17,17,17,17.0,16,16.0,16.0,16.0,2,"{'4x upscaling - Video Super-Resolution', '4x upscaling - Video Frame Interpolation'}",
AVA,2017-05-23,3,31,8,12,10.333333333333334,16,3.0,7.0,5.666666666666667,2,"{'Action Recognition', 'Audio-Visual Active Speaker Detection'}",https://paperswithcode.com/dataset/ava
Oxford-IIIT Pets,2018-05-24,1,30,30,30,30.0,16,16.0,16.0,16.0,3,"{'Fine-Grained Image Classification', 'Image Compression', 'Image Classification'}",https://paperswithcode.com/dataset/oxford-iiit-pets
