benchmark_parent_label,first_date,n_variant,n_row_sum,n_row_min,n_row_max,n_row_mean,n_unique_paper_sum,n_paper_min,n_paper_max,n_paper_mean,n_tasks,tasks,url,cumsum
ModelNet,2014-06-22,2,53,2,51,26.5,43,2.0,42.0,22.0,3,"{'3D Object Classification', '3D Point Cloud Classification', '3D Object Recognition'}",https://paperswithcode.com/dataset/modelnet,5836
ScanNet,2016-12-02,4,58,1,25,14.5,42,1.0,21.0,12.0,10,"{'3D Instance Segmentation', 'Panoptic Segmentation', '3D Semantic Instance Segmentation', 'Scene Segmentation', 'Surface Normals Estimation', '3D Object Detection', 'Semantic Segmentation', 'Depth Estimation', '3D Reconstruction', 'Scene Recognition'}",https://paperswithcode.com/dataset/scannet,5793
NYUv2,2014-11-18,3,64,1,41,21.333333333333332,42,1.0,33.0,14.666666666666666,8,"{'Instance Segmentation', 'Depth Completion', 'Real-Time Semantic Segmentation', 'Surface Normals Estimation', '3D Object Detection', 'Semantic Segmentation', 'Depth Estimation', 'Monocular Depth Estimation'}",https://paperswithcode.com/dataset/nyuv2,5751
DAVIS 2017,2016-11-16,3,75,1,43,25.0,40,1.0,38.0,23.0,4,"{'Unsupervised Video Object Segmentation', 'Referring Expression Segmentation', 'Semi-Supervised Video Object Segmentation', 'Video Object Segmentation'}",https://paperswithcode.com/dataset/davis-2017,5709
GTA5,2014-09-04,1,49,49,49,49.0,38,38.0,38.0,38.0,3,"{'Semantic Segmentation', 'Image-to-Image Translation', 'Synthetic-to-Real Translation'}",https://paperswithcode.com/dataset/gta5,5669
ShapeNet-Part,2016-06-21,1,38,38,38,38.0,38,38.0,38.0,38.0,1,{'3D Part Segmentation'},,5631
Referring Expressions for DAVIS 2016 & 2017,2016-11-16,1,43,43,43,43.0,38,38.0,38.0,38.0,3,"{'Unsupervised Video Object Segmentation', 'Referring Expression Segmentation', 'Semi-Supervised Video Object Segmentation'}",https://paperswithcode.com/dataset/referring-expressions-for-davis-2016-2017,5593
ActivityNet,2015-12-22,3,50,8,27,16.666666666666668,38,6.0,23.0,14.0,6,"{'Action Classification', 'Temporal Action Localization', 'Temporal Action Proposal Generation', 'Video Retrieval', 'Weakly Supervised Action Localization', 'Action Recognition'}",https://paperswithcode.com/dataset/activitynet,5555
SYNTHIA,2016-12-08,4,55,1,50,13.75,37,1.0,34.0,9.5,5,"{'Novel View Synthesis', 'Semantic Segmentation', 'Image-to-Image Translation', 'Synthetic-to-Real Translation', 'Domain Adaptation'}",https://paperswithcode.com/dataset/synthia,5517
S3DIS,2016-12-02,2,47,14,33,23.5,35,14.0,30.0,22.0,3,"{'Semantic Segmentation', '3D Instance Segmentation', '3D Semantic Segmentation'}",https://paperswithcode.com/dataset/s3dis,5445
MPII Human Pose,2014-11-16,2,39,3,36,19.5,35,3.0,33.0,18.0,1,{'Pose Estimation'},https://paperswithcode.com/dataset/mpii-human-pose,5480
PASCAL Context,2014-11-14,1,43,43,43,43.0,35,35.0,35.0,35.0,1,{'Semantic Segmentation'},https://paperswithcode.com/dataset/pascal-context,5410
CUHK03,2016-04-07,5,61,2,19,12.2,34,1.0,15.0,9.8,3,"{'Face Sketch Synthesis', 'Person Re-Identification', 'Blur Detection Dataset - Defocus Estimation'}",https://paperswithcode.com/dataset/cuhk03,5375
JHMDB,2014-11-21,5,42,2,27,8.4,33,2.0,24.0,7.6,4,"{'Temporal Action Localization', 'Referring Expression Segmentation', 'Skeleton Based Action Recognition', 'Pose Estimation'}",https://paperswithcode.com/dataset/jhmdb,5341
FFHQ,2014-12-31,3,52,13,25,17.333333333333332,32,10.0,23.0,15.0,4,"{'Image Inpainting', 'Facial Inpainting', '4x upscaling - Image Super-Resolution', 'Image Generation'}",https://paperswithcode.com/dataset/ffhq,5308
Oxford 102 Flower,2016-05-17,4,60,1,43,15.0,32,1.0,23.0,9.0,6,"{'Fine-Grained Image Classification', 'Few-Shot Image Classification', 'Image Classification', '0-Shot - Few-Shot Image Classification', 'Text-to-Image Generation', 'Image Generation'}",https://paperswithcode.com/dataset/oxford-102-flower,5276
ICDAR 2013,2014-06-09,2,32,16,16,16.0,32,16.0,16.0,16.0,2,"{'Scene Text Recognition', 'Scene Text Detection'}",https://paperswithcode.com/dataset/icdar-2013,5244
Something-Something V2,2017-06-13,1,51,51,51,51.0,32,32.0,32.0,32.0,2,"{'Video Classification', 'Action Recognition'}",https://paperswithcode.com/dataset/something-something-v2,5212
Charades,2014-06-09,1,46,46,46,46.0,32,32.0,32.0,32.0,4,"{'Weakly Supervised Object Detection', 'Action Detection', 'Video Classification', 'Action Classification'}",https://paperswithcode.com/dataset/charades,5180
Office-31,2015-12-10,1,34,34,34,34.0,31,31.0,31.0,31.0,3,"{'Domain Adaptation', 'Partial Domain Adaptation', 'Unsupervised Domain Adaptation'}",https://paperswithcode.com/dataset/office-31,5148
tieredImageNet,2017-03-09,4,91,13,36,22.75,31,7.0,30.0,17.25,2,"{'Image Classification', 'Few-Shot Image Classification'}",https://paperswithcode.com/dataset/tieredimagenet,5117
LFW,2009-01-01,3,34,2,27,11.333333333333334,31,1.0,27.0,10.666666666666666,4,"{'Face Verification', 'Face Recognition', '3D FACE MODELING', 'Face Quality Assessement'}",https://paperswithcode.com/dataset/lfw,5086
FGVC-Aircraft,2016-11-29,1,33,33,33,33.0,30,30.0,30.0,30.0,1,{'Fine-Grained Image Classification'},https://paperswithcode.com/dataset/fgvc-aircraft-1,5055
Visual Question Answering v2.0,2016-06-06,2,88,22,66,44.0,29,21.0,22.0,21.5,1,{'Visual Question Answering'},https://paperswithcode.com/dataset/visual-question-answering-v2-0,5025
COCO-Stuff,2014-11-14,8,37,1,14,4.625,28,1.0,11.0,4.0,5,"{'Real-Time Semantic Segmentation', 'Semantic Segmentation', 'Image-to-Image Translation', 'Unsupervised Semantic Segmentation', 'Layout-to-Image Generation'}",https://paperswithcode.com/dataset/coco-stuff,4996
SemanticKITTI,2016-12-02,1,33,33,33,33.0,27,27.0,27.0,27.0,4,"{'Real-Time 3D Semantic Segmentation', '3D Semantic Segmentation', 'Panoptic Segmentation', 'LIDAR Semantic Segmentation'}",https://paperswithcode.com/dataset/semantickitti,4941
CelebA-HQ,2017-10-27,6,37,1,13,6.166666666666667,27,1.0,7.0,5.166666666666667,6,"{'Blind Face Restoration', 'Image-to-Image Translation', 'Multimodal Unsupervised Image-To-Image Translation', 'Image Quality Assessment', 'Image Super-Resolution', 'Image Generation'}",https://paperswithcode.com/dataset/celeba-hq,4968
ICDAR 2015,2016-04-14,1,35,35,35,35.0,26,26.0,26.0,26.0,1,{'Scene Text Detection'},https://paperswithcode.com/dataset/icdar-2015,4914
300W,2015-11-23,2,35,1,34,17.5,25,1.0,25.0,13.0,4,"{'Unsupervised Facial Landmark Detection', '3D Reconstruction', 'Facial Landmark Detection', 'Face Alignment'}",https://paperswithcode.com/dataset/300w,4838
Office-Home,2012-12-01,2,31,5,26,15.5,25,1.0,25.0,13.0,4,"{'Domain Adaptation', 'Domain Generalization', 'Partial Domain Adaptation', 'Unsupervised Domain Adaptation'}",https://paperswithcode.com/dataset/office-home,4863
Something-Something V1,2017-11-21,1,48,48,48,48.0,25,25.0,25.0,25.0,2,"{'Video Classification', 'Action Recognition'}",https://paperswithcode.com/dataset/something-something-v1,4888
MSMT17,2016-11-17,4,34,2,22,8.5,24,2.0,18.0,7.5,3,"{'Person Re-Identification', 'Generalizable Person Re-identification', 'Unsupervised Person Re-Identification'}",https://paperswithcode.com/dataset/msmt17,4813
WebVision,2016-09-13,3,29,1,20,9.666666666666666,24,1.0,18.0,9.0,1,{'Image Classification'},https://paperswithcode.com/dataset/webvision-database,4789
NJU2K,2016-06-01,1,25,25,25,25.0,24,24.0,24.0,24.0,1,{'RGB-D Salient Object Detection'},https://paperswithcode.com/dataset/nju2k,4765
CelebA,2017-11-17,7,30,1,12,4.285714285714286,24,1.0,11.0,3.857142857142857,4,"{'Image Classification', 'Unsupervised Facial Landmark Detection', 'Face Alignment', 'Image Generation'}",https://paperswithcode.com/dataset/celeba,4741
Flickr30k,2014-12-07,3,28,1,15,9.333333333333334,23,1.0,14.0,9.0,5,"{'Image Retrieval', 'Phrase Grounding', 'Text-Image Retrieval', 'Image Captioning', 'Cross-Modal Retrieval'}",https://paperswithcode.com/dataset/flickr30k,4648
Clothing1M,2017-11-20,1,25,25,25,25.0,23,23.0,23.0,23.0,1,{'Image Classification'},https://paperswithcode.com/dataset/clothing1m,4717
USPS,2012-08-25,3,35,11,13,11.666666666666666,23,10.0,12.0,10.666666666666666,2,"{'Domain Adaptation', 'Image Clustering'}",https://paperswithcode.com/dataset/usps,4694
WIDER FACE,2014-07-15,3,55,9,25,18.333333333333332,23,9.0,23.0,17.0,1,{'Face Detection'},https://paperswithcode.com/dataset/wider-face-1,4671
SBU,2016-06-30,1,26,26,26,26.0,22,22.0,22.0,22.0,4,"{'RGB Salient Object Detection', 'Shadow Detection', 'Skeleton Based Action Recognition', 'Human Interaction Recognition'}",,4559
Manga109,2014-12-31,2,54,8,46,27.0,22,1.0,21.0,11.0,6,"{'3x upscaling - Image Super-Resolution', 'Object Detection', '2x upscaling - Image Super-Resolution', '16x upscaling - Image Super-Resolution', '8x upscaling - Image Super-Resolution', '4x upscaling - Image Super-Resolution'}",https://paperswithcode.com/dataset/manga109,4493
Fashion-MNIST,2012-08-25,2,23,2,21,11.5,22,2.0,20.0,11.0,5,"{'Image Classification', 'Image Clustering', 'Domain Generalization', 'Out-of-Distribution Detection', 'Image Generation'}",https://paperswithcode.com/dataset/fashion-mnist,4515
AFLW,2016-09-21,8,28,1,8,3.5,22,1.0,7.0,3.375,5,"{'Low-Light Image Enhancement', 'Unsupervised Facial Landmark Detection', 'Head Pose Estimation', 'Face Alignment', 'Facial Landmark Detection'}",https://paperswithcode.com/dataset/aflw,4537
IEMOCAP,2017-07-01,1,29,29,29,29.0,22,22.0,22.0,22.0,3,"{'Multimodal Emotion Recognition', 'Speech Emotion Recognition', 'Emotion Recognition in Conversation'}",https://paperswithcode.com/dataset/iemocap,4471
Caltech,2014-11-29,1,27,27,27,27.0,22,22.0,22.0,22.0,1,{'Pedestrian Detection'},,4581
iNaturalist,2017-07-20,3,36,1,27,12.0,22,1.0,14.0,7.666666666666667,4,"{'Image Classification', 'Fine-Grained Image Classification', 'Few-Shot Image Classification', 'Image Retrieval'}",https://paperswithcode.com/dataset/inaturalist,4603
SUN RGB-D,2014-12-22,3,26,4,12,8.666666666666666,22,4.0,10.0,8.0,6,"{'Object Detection', 'Monocular 3D Object Detection', 'Scene Segmentation', '3D Object Detection', 'Semantic Segmentation', 'Scene Recognition'}",https://paperswithcode.com/dataset/sun-rgb-d,4625
HICO-DET,2015-05-05,1,27,27,27,27.0,21,21.0,21.0,21.0,2,"{'Weakly Supervised Object Detection', 'Human-Object Interaction Detection'}",https://paperswithcode.com/dataset/hico-det,4449
MOTChallenge,2015-04-09,4,43,2,20,10.75,21,2.0,18.0,10.25,2,"{'Multi-Object Tracking', 'Online Multi-Object Tracking'}",https://paperswithcode.com/dataset/motchallenge,4428
GoPro,2016-12-07,1,23,23,23,23.0,21,21.0,21.0,21.0,1,{'Deblurring'},https://paperswithcode.com/dataset/gopro,4407
