benchmark_parent_label,first_date,n_variant,n_row_sum,n_row_min,n_row_max,n_row_mean,n_unique_paper_sum,n_paper_min,n_paper_max,n_paper_mean,n_tasks,tasks,url,cumsum
Yelp Binary classification,2015-09-04,1,20,20,20,20.0,18,18.0,18.0,18.0,1,{'Sentiment Analysis'},,2354
HotpotQA,2018-09-25,2,61,1,60,30.5,18,1.0,17.0,9.0,1,{'Question Answering'},https://paperswithcode.com/dataset/hotpotqa,2372
SemEval-2010 Task 8,2014-08-01,1,19,19,19,19.0,18,18.0,18.0,18.0,1,{'Relation Extraction'},https://paperswithcode.com/dataset/semeval-2010-task-8,2300
MELD,2017-07-01,1,19,19,19,19.0,17,17.0,17.0,17.0,1,{'Emotion Recognition in Conversation'},https://paperswithcode.com/dataset/meld,2264
TurkCorpus,2012-07-01,1,23,23,23,23.0,17,17.0,17.0,17.0,1,{'Text Simplification'},https://paperswithcode.com/dataset/turkcorpus,2247
Text8,2016-02-26,1,21,21,21,21.0,16,16.0,16.0,16.0,1,{'Language Modelling'},,2230
TREC-6,2015-04-05,1,16,16,16,16.0,16,16.0,16.0,16.0,1,{'Text Classification'},,2214
WNUT 2017,2017-09-01,2,17,4,13,8.5,16,4.0,12.0,8.0,1,{'Named Entity Recognition'},https://paperswithcode.com/dataset/wnut-2017-emerging-and-rare-entity,2198
WMT 2016 News,2016-06-09,5,41,1,19,8.2,16,1.0,11.0,5.0,2,"{'Machine Translation', 'Unsupervised Machine Translation'}",https://paperswithcode.com/dataset/wmt-2016-news,2182
IWSLT2015 German-English,2014-09-01,1,15,15,15,15.0,15,15.0,15.0,15.0,1,{'Machine Translation'},,2106
MR,2017-02-05,1,16,16,16,16.0,15,15.0,15.0,15.0,2,"{'Text Classification', 'Sentiment Analysis'}",https://paperswithcode.com/dataset/mr,2061
WikiQA,2014-05-16,1,19,19,19,19.0,15,15.0,15.0,15.0,1,{'Question Answering'},https://paperswithcode.com/dataset/wikiqa,2076
BC5CDR,2018-09-21,3,22,5,11,7.333333333333333,15,5.0,9.0,6.666666666666667,1,{'Named Entity Recognition'},https://paperswithcode.com/dataset/bc5cdr,2091
Yelp Fine-grained classification,2015-09-04,1,17,17,17,17.0,15,15.0,15.0,15.0,1,{'Sentiment Analysis'},,2121
20NEWS,2015-08-17,1,17,17,17,17.0,15,15.0,15.0,15.0,2,"{'Machine Translation', 'Text Classification'}",,2136
Billion Word Benchmark,2013-12-11,1,23,23,23,23.0,15,15.0,15.0,15.0,2,"{'Language Modelling', 'Text Generation'}",https://paperswithcode.com/dataset/billion-word-benchmark,2151
Universal Dependencies,2016-02-04,3,15,3,7,5.0,15,3.0,7.0,5.0,4,"{'Language Identification', 'Dependency Parsing', 'Cross-lingual zero-shot dependency parsing', 'Part-Of-Speech Tagging'}",https://paperswithcode.com/dataset/universal-dependencies,2166
Word Sense Disambiguation: a Unified Evaluation Framework and Empirical Comparison,2014-01-01,2,26,6,20,13.0,14,5.0,9.0,7.0,1,{'Word Sense Disambiguation'},https://paperswithcode.com/dataset/word-sense-disambiguation-a-unified,1990
RACE,2018-03-24,1,16,16,16,16.0,14,14.0,14.0,14.0,3,"{'Distractor Generation', 'Question Answering', 'Reading Comprehension'}",https://paperswithcode.com/dataset/race,1948
DBP15K,2016-11-12,3,33,3,27,11.0,14,3.0,14.0,6.666666666666667,1,{'Entity Alignment'},https://paperswithcode.com/dataset/dbp15k,1962
AIDA CoNLL-YAGO,2011-07-01,1,18,18,18,18.0,14,14.0,14.0,14.0,2,"{'Entity Linking', 'Entity Disambiguation'}",https://paperswithcode.com/dataset/aida-conll-yago,1976
TriviaQA,2017-05-08,2,22,8,14,11.0,14,1.0,13.0,7.0,3,"{'Question Answering', 'Open-Domain Question Answering', 'Question Generation'}",https://paperswithcode.com/dataset/triviaqa,2004
MSRA,2015-09-01,1,18,18,18,18.0,14,14.0,14.0,14.0,3,"{'Chinese Named Entity Recognition', 'Chinese Word Segmentation', 'Cross-Lingual NER'}",,2018
CLEVR,2017-05-10,1,14,14,14,14.0,14,14.0,14.0,14.0,1,{'Visual Question Answering'},https://paperswithcode.com/dataset/clevr,2032
ATIS,2014-11-19,1,18,18,18,18.0,14,14.0,14.0,14.0,3,"{'Semantic Parsing', 'Intent Detection', 'Slot Filling'}",https://paperswithcode.com/dataset/atis,2046
Weibo NER,2018-05-05,1,14,14,14,14.0,13,13.0,13.0,13.0,2,"{'Named Entity Recognition', 'Chinese Named Entity Recognition'}",https://paperswithcode.com/dataset/weibo-ner,1934
SearchQA,2016-03-04,1,14,14,14,14.0,13,13.0,13.0,13.0,1,{'Open-Domain Question Answering'},https://paperswithcode.com/dataset/searchqa,1921
CoNLL-2012,2017-07-21,1,18,18,18,18.0,12,12.0,12.0,12.0,3,"{'Semantic Role Labeling (predicted predicates)', 'Predicate Detection', 'Coreference Resolution'}",https://paperswithcode.com/dataset/conll-2012-1,1908
bAbi,2015-03-31,1,13,13,13,13.0,12,12.0,12.0,12.0,1,{'Question Answering'},,1896
NCBI Disease,2018-10-11,2,14,1,13,7.0,12,1.0,11.0,6.0,1,{'Named Entity Recognition'},https://paperswithcode.com/dataset/ncbi-disease-1,1884
RST-DT,2009-08-02,1,12,12,12,12.0,12,12.0,12.0,12.0,1,{'Discourse Parsing'},https://paperswithcode.com/dataset/rst-dt,1872
SUBJ,2015-04-20,1,14,14,14,14.0,12,12.0,12.0,12.0,1,{'Subjectivity Analysis'},https://paperswithcode.com/dataset/subj,1860
Pubmed,2017-04-14,2,17,2,15,8.5,12,2.0,10.0,6.0,2,"{'Text Summarization', 'Sentence Classification'}",https://paperswithcode.com/dataset/pubmed,1848
DUC 2004,2015-09-02,2,15,1,14,7.5,12,1.0,11.0,6.0,3,"{'Multi-Document Summarization', 'Text Summarization', 'Extractive Text Summarization'}",https://paperswithcode.com/dataset/duc-2004,1836
Hutter Prize,2016-07-12,1,17,17,17,17.0,11,11.0,11.0,11.0,1,{'Language Modelling'},https://paperswithcode.com/dataset/hutter-prize,1813
COCO Captions,2016-09-18,2,12,1,11,6.0,11,1.0,10.0,5.5,3,"{'Image Captioning', 'Text Generation', 'Concept-To-Text Generation'}",https://paperswithcode.com/dataset/coco-captions,1802
QUASAR-T,2016-06-05,2,13,6,7,6.5,11,6.0,7.0,6.5,2,"{'Question Answering', 'Open-Domain Question Answering'}",https://paperswithcode.com/dataset/quasar-t,1791
arXiv,2017-04-14,1,17,17,17,17.0,11,11.0,11.0,11.0,3,"{'Text Summarization', 'Text Classification', 'Topic modeling'}",https://paperswithcode.com/dataset/arxiv,1824
CommonsenseQA,2018-11-02,1,12,12,12,12.0,11,11.0,11.0,11.0,2,"{'Question Answering', 'Common Sense Reasoning'}",https://paperswithcode.com/dataset/commonsenseqa,1780
