dataset_label,paper,paper_label
Dayton (64x64) - ground-to-aerial,https://identifiers.org/ito:ITO_20233,Unified Generative Adversarial Networks for Controllable Image-to-Image Translation
Dayton (64×64) - aerial-to-ground,https://identifiers.org/ito:ITO_20233,Unified Generative Adversarial Networks for Controllable Image-to-Image Translation
Dayton (64×64) - aerial-to-ground,https://identifiers.org/ito:ITO_03934,Image-to-Image Translation with Conditional Adversarial Networks
Dayton (64×64) - aerial-to-ground,https://identifiers.org/ito:ITO_04126,Cross-View Image Synthesis using Conditional GANs
Dayton (64×64) - aerial-to-ground,https://identifiers.org/ito:ITO_04122,Multi-Channel Attention Selection GAN with Cascaded Semantic Guidance for Cross-View Image Translation
cvusa,https://identifiers.org/ito:ITO_20233,Unified Generative Adversarial Networks for Controllable Image-to-Image Translation
cvusa,https://identifiers.org/ito:ITO_03934,Image-to-Image Translation with Conditional Adversarial Networks
cvusa,https://identifiers.org/ito:ITO_04139,Predicting Ground-Level Scene Layout from Aerial Imagery
cvusa,https://identifiers.org/ito:ITO_04126,Cross-View Image Synthesis using Conditional GANs
cvusa,https://identifiers.org/ito:ITO_04122,Multi-Channel Attention Selection GAN with Cascaded Semantic Guidance for Cross-View Image Translation
Ego2Top,https://identifiers.org/ito:ITO_03934,Image-to-Image Translation with Conditional Adversarial Networks
Ego2Top,https://identifiers.org/ito:ITO_04126,Cross-View Image Synthesis using Conditional GANs
Ego2Top,https://identifiers.org/ito:ITO_04122,Multi-Channel Attention Selection GAN with Cascaded Semantic Guidance for Cross-View Image Translation
CPM-Synt-1,https://identifiers.org/ito:ITO_20250,Lipstick ain't enough: Beyond Color Matching for In-the-Wild Makeup Transfer
CPM-Synt-2,https://identifiers.org/ito:ITO_20250,Lipstick ain't enough: Beyond Color Matching for In-the-Wild Makeup Transfer
Fundus Fluorescein Angiogram Photographs & Colour Fundus Images of Diabetic Patients,https://identifiers.org/ito:ITO_03934,Image-to-Image Translation with Conditional Adversarial Networks
Fundus Fluorescein Angiogram Photographs & Colour Fundus Images of Diabetic Patients,https://identifiers.org/ito:ITO_03948,High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs
Fundus Fluorescein Angiogram Photographs & Colour Fundus Images of Diabetic Patients,https://identifiers.org/ito:ITO_03919,U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation
Fundus Fluorescein Angiogram Photographs & Colour Fundus Images of Diabetic Patients,https://identifiers.org/ito:ITO_20223,Attention2AngioGAN: Synthesizing Fluorescein Angiography from Retinal Fundus Images using Generative Adversarial Networks
Fundus Fluorescein Angiogram Photographs & Colour Fundus Images of Diabetic Patients,https://identifiers.org/ito:ITO_44050,VTGAN: Semi-supervised Retinal Image Synthesis and Disease Prediction using Vision Transformers
Fundus Fluorescein Angiogram Photographs & Colour Fundus Images of Diabetic Patients,https://identifiers.org/ito:ITO_03958,StarGAN v2: Diverse Image Synthesis for Multiple Domains
horse2zebra,https://identifiers.org/ito:ITO_03919,U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation
horse2zebra,https://identifiers.org/ito:ITO_20023,Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks
CelebA-HQ,https://identifiers.org/ito:ITO_03958,StarGAN v2: Diverse Image Synthesis for Multiple Domains
CelebA-HQ,https://identifiers.org/ito:ITO_43921,Hypercomplex Image-to-Image Translation
Cityscapes Photo-to-Labels,https://identifiers.org/ito:ITO_03938,Coupled Generative Adversarial Networks
Cityscapes Photo-to-Labels,https://identifiers.org/ito:ITO_03934,Image-to-Image Translation with Conditional Adversarial Networks
Cityscapes Photo-to-Labels,https://identifiers.org/ito:ITO_03942,Adversarially Learned Inference
photo2portrait,https://identifiers.org/ito:ITO_03919,U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation
2017_test set,https://identifiers.org/ito:ITO_20144,"(0,4) brane box models"
RaFD,https://identifiers.org/ito:ITO_04047,Deep Identity-aware Transfer of Facial Attributes
RaFD,https://identifiers.org/ito:ITO_04045,StarGAN: Unified Generative Adversarial Networks for Multi-Domain Image-to-Image Translation
cat2dog,https://identifiers.org/ito:ITO_20094,"GANs N' Roses: Stable, Controllable, Diverse Image to Image Translation (works for videos too!)"
cat2dog,https://identifiers.org/ito:ITO_03919,U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation
selfie2anime,https://identifiers.org/ito:ITO_20094,"GANs N' Roses: Stable, Controllable, Diverse Image to Image Translation (works for videos too!)"
ADE20K-Outdoor Labels-to-Photos,https://identifiers.org/ito:ITO_03950,Photographic Image Synthesis with Cascaded Refinement Networks
ADE20K-Outdoor Labels-to-Photos,https://identifiers.org/ito:ITO_03948,High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs
ADE20K-Outdoor Labels-to-Photos,https://identifiers.org/ito:ITO_03952,Semi-parametric Image Synthesis
ADE20K-Outdoor Labels-to-Photos,https://identifiers.org/ito:ITO_03946,Semantic Image Synthesis with Spatially-Adaptive Normalization
ADE20K-Outdoor Labels-to-Photos,https://identifiers.org/ito:ITO_04012,Cross-domain Correspondence Learning for Exemplar-based Image Translation
ADE20K-Outdoor Labels-to-Photos,https://identifiers.org/ito:ITO_20037,You Only Need Adversarial Supervision for Semantic Image Synthesis
Zebra and Horses,https://identifiers.org/ito:ITO_20084,Learning Unsupervised Cross-domain Image-to-Image Translation Using a Shared Discriminator
vangogh2photo,https://identifiers.org/ito:ITO_03919,U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation
vangogh2photo,https://identifiers.org/ito:ITO_20023,Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks
ADE-Indoor Labels-to-Photo,https://identifiers.org/ito:ITO_03954,Semantic Bottleneck Scene Generation
Object Transfiguration (sheep-to-giraffe),https://identifiers.org/ito:ITO_20089,InstaGAN: Instance-aware Image-to-Image Translation
COCO-Stuff Labels-to-Photos,https://identifiers.org/ito:ITO_03950,Photographic Image Synthesis with Cascaded Refinement Networks
COCO-Stuff Labels-to-Photos,https://identifiers.org/ito:ITO_03948,High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs
COCO-Stuff Labels-to-Photos,https://identifiers.org/ito:ITO_03946,Semantic Image Synthesis with Spatially-Adaptive Normalization
COCO-Stuff Labels-to-Photos,https://identifiers.org/ito:ITO_03944,Learning to Predict Layout-to-image Conditional Convolutions for Semantic Image Synthesis
COCO-Stuff Labels-to-Photos,https://identifiers.org/ito:ITO_20039,Improving Augmentation and Evaluation Schemes for Semantic Image Synthesis
COCO-Stuff Labels-to-Photos,https://identifiers.org/ito:ITO_20037,You Only Need Adversarial Supervision for Semantic Image Synthesis
COCO-Stuff Labels-to-Photos,https://identifiers.org/ito:ITO_43945,Multimodal Conditional Image Synthesis with Product-of-Experts GANs
COCO-Stuff Labels-to-Photos,https://identifiers.org/ito:ITO_43943,Pretraining is All You Need for Image-to-Image Translation
ADE20K Labels-to-Photos,https://identifiers.org/ito:ITO_03950,Photographic Image Synthesis with Cascaded Refinement Networks
ADE20K Labels-to-Photos,https://identifiers.org/ito:ITO_03948,High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs
ADE20K Labels-to-Photos,https://identifiers.org/ito:ITO_03946,Semantic Image Synthesis with Spatially-Adaptive Normalization
ADE20K Labels-to-Photos,https://identifiers.org/ito:ITO_03944,Learning to Predict Layout-to-image Conditional Convolutions for Semantic Image Synthesis
ADE20K Labels-to-Photos,https://identifiers.org/ito:ITO_20028,"SESAME: Semantic Editing of Scenes by Adding, Manipulating or Erasing Objects"
ADE20K Labels-to-Photos,https://identifiers.org/ito:ITO_04012,Cross-domain Correspondence Learning for Exemplar-based Image Translation
Cityscapes-to-Foggy Cityscapes,https://identifiers.org/ito:ITO_04008,Domain Adaptive Faster R-CNN for Object Detection in the Wild
Cityscapes-to-Foggy Cityscapes,https://identifiers.org/ito:ITO_04006,Diversify and Match: A Domain Adaptive Representation Learning Paradigm for Object Detection
Cityscapes-to-Foggy Cityscapes,https://identifiers.org/ito:ITO_04004,Progressive Domain Adaptation for Object Detection
Cityscapes-to-Foggy Cityscapes,https://identifiers.org/ito:ITO_20050,Adaptive Object Detection with Dual Multi-Label Prediction
Apples and Oranges,https://identifiers.org/ito:ITO_20084,Learning Unsupervised Cross-domain Image-to-Image Translation Using a Shared Discriminator
LLVIP,https://identifiers.org/ito:ITO_43670,LLVIP: A Visible-infrared Paired Dataset for Low-light Vision
LLVIP,https://identifiers.org/ito:ITO_43953,BCI: Breast Cancer Immunohistochemical Image Generation through Pyramid Pix2pix
zebra2horse,https://identifiers.org/ito:ITO_03919,U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation
zebra2horse,https://identifiers.org/ito:ITO_20023,Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks
zebra2horse,https://identifiers.org/ito:ITO_20058,Powers of layers for image-to-image translation
dog2cat,https://identifiers.org/ito:ITO_03919,U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation
portrait2photo,https://identifiers.org/ito:ITO_03919,U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation
AFHQ,https://identifiers.org/ito:ITO_03958,StarGAN v2: Diverse Image Synthesis for Multiple Domains
BRATS,https://identifiers.org/ito:ITO_43936,ResViT: Residual vision transformers for multi-modal medical image synthesis
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_03236,Very Deep Convolutional Networks for Large-Scale Image Recognition
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_03924,Deep Residual Learning for Image Recognition
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_20076,Unsupervised Domain Adaptation for Semantic Segmentation via Class-Balanced Self-Training
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_20072,Prototypical Pseudo Label Denoising and Target Structure Learning for Domain Adaptive Semantic Segmentation
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_43975,Cross-Region Domain Adaptation for Class-level Alignment
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_43969,DAFormer: Improving Network Architectures and Training Strategies for Domain-Adaptive Semantic Segmentation
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_43963,HRDA: Context-Aware High-Resolution Domain-Adaptive Semantic Segmentation
SYNTHIA Fall-to-Winter,https://identifiers.org/ito:ITO_03985,FCNs in the Wild: Pixel-level Adversarial and Constraint-based Adaptation
SYNTHIA Fall-to-Winter,https://identifiers.org/ito:ITO_04038,CyCADA: Cycle-Consistent Adversarial Domain Adaptation
BCI,https://identifiers.org/ito:ITO_43953,BCI: Breast Cancer Immunohistochemical Image Generation through Pyramid Pix2pix
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_03985,FCNs in the Wild: Pixel-level Adversarial and Constraint-based Adaptation
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_03983,Curriculum Domain Adaptation for Semantic Segmentation of Urban Scenes
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_20134,Learning to Adapt Structured Output Space for Semantic Segmentation
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_03968,ADVENT: Adversarial Entropy Minimization for Domain Adaptation in Semantic Segmentation
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_03966,Sliced Wasserstein Discrepancy for Unsupervised Domain Adaptation
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_03926,Bidirectional Learning for Domain Adaptation of Semantic Segmentation
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_03962,Constructing Self-motivated Pyramid Curriculums for Cross-Domain Semantic Segmentation: A Non-Adversarial Approach
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_20122,Instance Adaptive Self-Training for Unsupervised Domain Adaptation
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_20072,Prototypical Pseudo Label Denoising and Target Structure Learning for Domain Adaptive Semantic Segmentation
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_43975,Cross-Region Domain Adaptation for Class-level Alignment
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_43969,DAFormer: Improving Network Architectures and Training Strategies for Domain-Adaptive Semantic Segmentation
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_43963,HRDA: Context-Aware High-Resolution Domain-Adaptive Semantic Segmentation
photo2vangogh,https://identifiers.org/ito:ITO_03919,U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation
photo2vangogh,https://identifiers.org/ito:ITO_20023,Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks
photo2vangogh,https://identifiers.org/ito:ITO_20058,Powers of layers for image-to-image translation
KITTI Object Tracking Evaluation 2012,https://identifiers.org/ito:ITO_20115,Editing Text in the Wild
Aerial-to-Map,https://identifiers.org/ito:ITO_03934,Image-to-Image Translation with Conditional Adversarial Networks
Deep-Fashion,https://identifiers.org/ito:ITO_04012,Cross-domain Correspondence Learning for Exemplar-based Image Translation
Deep-Fashion,https://identifiers.org/ito:ITO_43948,Diverse Semantic Image Synthesis via Probability Distribution Modeling
anime-to-selfie,https://identifiers.org/ito:ITO_03919,U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation
anime-to-selfie,https://identifiers.org/ito:ITO_20061,Feature Quantization Improves GAN Training
Cityscapes Labels-to-Photo,https://identifiers.org/ito:ITO_20039,Improving Augmentation and Evaluation Schemes for Semantic Image Synthesis
Cityscapes Labels-to-Photo,https://identifiers.org/ito:ITO_03950,Photographic Image Synthesis with Cascaded Refinement Networks
Cityscapes Labels-to-Photo,https://identifiers.org/ito:ITO_03948,High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs
Cityscapes Labels-to-Photo,https://identifiers.org/ito:ITO_03952,Semi-parametric Image Synthesis
Cityscapes Labels-to-Photo,https://identifiers.org/ito:ITO_20037,You Only Need Adversarial Supervision for Semantic Image Synthesis
Cityscapes Labels-to-Photo,https://identifiers.org/ito:ITO_03944,Learning to Predict Layout-to-image Conditional Convolutions for Semantic Image Synthesis
Cityscapes Labels-to-Photo,https://identifiers.org/ito:ITO_03946,Semantic Image Synthesis with Spatially-Adaptive Normalization
Cityscapes Labels-to-Photo,https://identifiers.org/ito:ITO_20028,"SESAME: Semantic Editing of Scenes by Adding, Manipulating or Erasing Objects"
Cityscapes Labels-to-Photo,https://identifiers.org/ito:ITO_03938,Coupled Generative Adversarial Networks
Cityscapes Labels-to-Photo,https://identifiers.org/ito:ITO_03934,Image-to-Image Translation with Conditional Adversarial Networks
selfie-to-anime,https://identifiers.org/ito:ITO_03919,U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation
selfie-to-anime,https://identifiers.org/ito:ITO_20061,Feature Quantization Improves GAN Training
CelebA-HQ,https://identifiers.org/ito:ITO_04106,Multimodal Unsupervised Image-to-Image Translation
Cats-and-Dogs,https://identifiers.org/ito:ITO_04056,Unsupervised Image-to-Image Translation Networks
Cats-and-Dogs,https://identifiers.org/ito:ITO_04106,Multimodal Unsupervised Image-to-Image Translation
Edge-to-Shoes,https://identifiers.org/ito:ITO_04056,Unsupervised Image-to-Image Translation Networks
Edge-to-Shoes,https://identifiers.org/ito:ITO_04112,Toward Multimodal Image-to-Image Translation
Edge-to-Shoes,https://identifiers.org/ito:ITO_04106,Multimodal Unsupervised Image-to-Image Translation
Edge-to-Shoes,https://identifiers.org/ito:ITO_20023,Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks
EPFL NIR-VIS,https://identifiers.org/ito:ITO_20023,Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks
EPFL NIR-VIS,https://identifiers.org/ito:ITO_04053,In2I : Unsupervised Multi-Image-to-Image Translation Using Generative Adversarial Networks
Edge-to-Handbags,https://identifiers.org/ito:ITO_04056,Unsupervised Image-to-Image Translation Networks
Edge-to-Handbags,https://identifiers.org/ito:ITO_04112,Toward Multimodal Image-to-Image Translation
Edge-to-Handbags,https://identifiers.org/ito:ITO_04106,Multimodal Unsupervised Image-to-Image Translation
AFHQ,https://identifiers.org/ito:ITO_04106,Multimodal Unsupervised Image-to-Image Translation
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_03985,FCNs in the Wild: Pixel-level Adversarial and Constraint-based Adaptation
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_03983,Curriculum Domain Adaptation for Semantic Segmentation of Urban Scenes
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_04038,CyCADA: Cycle-Consistent Adversarial Domain Adaptation
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_20134,Learning to Adapt Structured Output Space for Semantic Segmentation
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_04077,Diverse Image-to-Image Translation via Disentangled Representations
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_04073,Domain Adaptation for Semantic Segmentation via Class-Balanced Self-Training
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_03926,Bidirectional Learning for Domain Adaptation of Semantic Segmentation
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_20131,Confidence Regularized Self-Training
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_03975,Category Anchor-Guided Unsupervised Domain Adaptation for Semantic Segmentation
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_20174,Rectifying Pseudo Label Learning via Uncertainty Estimation for Domain Adaptive Semantic Segmentation
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_20164,DACS: Domain Adaptation via Cross-domain Mixed Sampling
GTAV-to-Cityscapes Labels,https://identifiers.org/ito:ITO_43965,SePiCo: Semantic-Guided Pixel Contrast for Domain Adaptive Semantic Segmentation
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_03975,Category Anchor-Guided Unsupervised Domain Adaptation for Semantic Segmentation
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_20174,Rectifying Pseudo Label Learning via Uncertainty Estimation for Domain Adaptive Semantic Segmentation
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_20164,DACS: Domain Adaptation via Cross-domain Mixed Sampling
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_04079,Taking A Closer Look at Domain Shift: Category-level Adversaries for Semantics Consistent Domain Adaptation
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_10551,Unsupervised Scene Adaptation with Memory Regularization in vivo
SYNTHIA-to-Cityscapes,https://identifiers.org/ito:ITO_43999,Domain Adaptive Semantic Segmentation with Self-Supervised Depth Estimation
Syn2Real-C,https://identifiers.org/ito:ITO_04099,Domain-Adversarial Training of Neural Networks
Syn2Real-C,https://identifiers.org/ito:ITO_04094,Adversarial Dropout Regularization
Syn2Real-C,https://identifiers.org/ito:ITO_04092,Discriminative Adversarial Domain Adaptation
SVNH-to-MNIST,https://identifiers.org/ito:ITO_04066,Unsupervised Domain Adaptation by Backpropagation
SVNH-to-MNIST,https://identifiers.org/ito:ITO_04062,Unsupervised Cross-Domain Image Generation
SVNH-to-MNIST,https://identifiers.org/ito:ITO_04038,CyCADA: Cycle-Consistent Adversarial Domain Adaptation
Freiburg Forest Dataset,https://identifiers.org/ito:ITO_20023,Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks
Freiburg Forest Dataset,https://identifiers.org/ito:ITO_04053,In2I : Unsupervised Multi-Image-to-Image Translation Using Generative Adversarial Networks
10-Monty-Hall,https://identifiers.org/ito:ITO_47268,Rethinking Style Transfer: From Pixels to Parameterized Brushstrokes
WikiArt,https://identifiers.org/ito:ITO_47272,StyleFlow For Content-Fixed Image to Image Translation
Relative Human,https://identifiers.org/ito:ITO_42481,Coherent Reconstruction of Multiple Humans from a Single Image
Relative Human,https://identifiers.org/ito:ITO_42479,"Monocular, One-stage, Regression of Multiple 3D People"
Relative Human,https://identifiers.org/ito:ITO_42478,Putting People in their Place: Monocular Regression of 3D People in Depth
TransCG,https://identifiers.org/ito:ITO_42486,TransCG: A Large-Scale Real-World Dataset for Transparent Object Depth Completion and Grasping
nuScenes Cars,https://identifiers.org/ito:ITO_57755,Disentangling Monocular 3D Object Detection
ModelNet40,https://identifiers.org/ito:ITO_59619,MVTN: Multi-View Transformation Network for 3D Shape Recognition
ShapeNetCore 55,https://identifiers.org/ito:ITO_59619,MVTN: Multi-View Transformation Network for 3D Shape Recognition
SHREC'19,https://identifiers.org/ito:ITO_15901,3D-CODED : 3D Correspondences by Deep Deformation
SHREC'19,https://identifiers.org/ito:ITO_59600,CorrNet3D: Unsupervised End-to-end Learning of Dense Correspondence for 3D Point Clouds
SHREC'19,https://identifiers.org/ito:ITO_59604,Learning elementary structures for 3D shape generation and matching
SHREC'19,https://identifiers.org/ito:ITO_59602,Correspondence Learning via Linearly-invariant Embedding
SHREC'19,https://identifiers.org/ito:ITO_59597,DPC: Unsupervised Deep Point Correspondence via Cross and Self Construction
VIVA Hand Gestures Dataset,https://identifiers.org/ito:ITO_06526,Two-Stream Convolutional Networks for Action Recognition in Videos
VIVA Hand Gestures Dataset,https://identifiers.org/ito:ITO_06561,"Quo Vadis, Action Recognition? A New Model and the Kinetics Dataset"
VIVA Hand Gestures Dataset,https://identifiers.org/ito:ITO_10999,Improving the Performance of Unimodal Dynamic Hand-Gesture Recognition with Multimodal Training
Jester test,https://identifiers.org/ito:ITO_06563,Temporal Relational Reasoning in Videos
Jester test,https://identifiers.org/ito:ITO_10992,Motion Fused Frames: Data Level Fusion Strategy for Hand Gesture Recognition
ChaLearn val,https://identifiers.org/ito:ITO_11019,Large-scale Isolated Gesture Recognition Using Convolutional Neural Networks
ChaLearn val,https://identifiers.org/ito:ITO_10992,Motion Fused Frames: Data Level Fusion Strategy for Hand Gesture Recognition
EgoGesture,https://identifiers.org/ito:ITO_06561,"Quo Vadis, Action Recognition? A New Model and the Kinetics Dataset"
EgoGesture,https://identifiers.org/ito:ITO_10999,Improving the Performance of Unimodal Dynamic Hand-Gesture Recognition with Multimodal Training
EgoGesture,https://identifiers.org/ito:ITO_11001,Real-time Hand Gesture Detection and Classification Using Convolutional Neural Networks
BUAA,https://identifiers.org/ito:ITO_10983,Deep Fisher Discriminant Learning for Mobile Hand Gesture Recognition
SmartWatch,https://identifiers.org/ito:ITO_10983,Deep Fisher Discriminant Learning for Mobile Hand Gesture Recognition
SHREC 2017 track on 3D Hand Gesture Recognition,https://identifiers.org/ito:ITO_06852,"Make Skeleton-based Action Recognition Model Smaller, Faster and Better"
SHREC 2017 track on 3D Hand Gesture Recognition,https://identifiers.org/ito:ITO_43834,Compressing 3DCNNs Based on Tensor Train Decomposition
DHG-14,https://identifiers.org/ito:ITO_43844,Motion Feature Augmented Recurrent Neural Network for Skeleton-based Dynamic Hand Gesture Recognition
DHG-14,https://identifiers.org/ito:ITO_43837,Deep Learning for Hand Gesture Recognition on Skeletal Data
DHG-14,https://identifiers.org/ito:ITO_10977,Construct Dynamic Graphs for Hand Gesture Recognition via Spatial-Temporal Attention
SHREC 2017,https://identifiers.org/ito:ITO_10977,Construct Dynamic Graphs for Hand Gesture Recognition via Spatial-Temporal Attention
