,ds_count,task,ds,date,model_label,value,percent_of_max_sota,gain,ratio,max_sota,percent_of_max_metric,merge
39,1,Word Sense Disambiguation,SensEval 2,2019-05,"SemCor+WNGC, hypernyms",79.7,100.0,4.5,0.06,79.7,0.81,F1
40,1,Coreference Resolution,OntoNotes,2016-04,Global,64.21,80.67,64.21,0.81,79.6,0.65,F1
41,1,Coreference Resolution,OntoNotes,2016-06,NN Cluster Ranker,65.29,82.02,1.1,0.01,79.6,0.66,F1
42,1,Coreference Resolution,OntoNotes,2016-09,Reward Rescaling,65.73,82.58,0.4,0.01,79.6,0.67,F1
43,1,Coreference Resolution,OntoNotes,2017-07,e2e-coref,67.2,84.42,1.5,0.02,79.6,0.68,F1
44,1,Coreference Resolution,OntoNotes,2018-02,e2e-coref + ELMo,70.4,88.44,3.2,0.04,79.6,0.72,F1
45,1,Coreference Resolution,OntoNotes,2018-04,c2f-coref,73.0,91.71,2.6,0.03,79.6,0.74,F1
46,1,Coreference Resolution,OntoNotes,2019-07,BERT + EE,76.61,96.24,3.6,0.05,79.6,0.78,F1
47,1,Coreference Resolution,OntoNotes,2019-07,SpanBERT,79.6,100.0,3.0,0.04,79.6,0.81,F1
48,1,Relation Extraction,SemEval-2010 Task 8,2016-08,Att-Pooling-CNN,88.0,96.7,88.0,0.97,91.0,0.89,F1
49,1,Relation Extraction,SemEval-2010 Task 8,2019-02,Entity-Aware BERT,89.0,97.8,1.0,0.01,91.0,0.9,F1
50,1,Relation Extraction,SemEval-2010 Task 8,2019-05,R-BERT,89.25,98.08,0.2,0.0,91.0,0.91,F1
51,1,Relation Extraction,SemEval-2010 Task 8,2019-06,BERTEM+MTB,89.5,98.35,0.2,0.0,91.0,0.91,F1
52,1,Relation Extraction,SemEval-2010 Task 8,2019-11,EPGNN,90.2,99.12,0.7,0.01,91.0,0.92,F1
53,1,Relation Extraction,SemEval-2010 Task 8,2020-04,REDN,91.0,100.0,0.8,0.01,91.0,0.92,F1
54,1,Question Answering,SQuAD1.1 dev,2016-08,Match-LSTM with Bi-Ans-Ptr (Boundary+Search+b) ,64.7,67.56,64.7,0.68,95.77,0.66,F1
55,1,Question Answering,SQuAD1.1 dev,2016-10,DCR,71.2,74.34,6.5,0.07,95.77,0.72,F1
56,1,Question Answering,SQuAD1.1 dev,2016-11,RASOR,74.9,78.21,3.7,0.04,95.77,0.76,F1
57,1,Question Answering,SQuAD1.1 dev,2016-11,BIDAF (single),77.3,80.71,2.4,0.03,95.77,0.79,F1
58,1,Question Answering,SQuAD1.1 dev,2017-03,SEDT-LSTM,77.42,80.84,0.1,0.0,95.77,0.79,F1
59,1,Question Answering,SQuAD1.1 dev,2017-03,FastQAExt (beam-size 5),78.5,81.97,1.1,0.01,95.77,0.8,F1
60,1,Question Answering,SQuAD1.1 dev,2017-03,DrQA (Document Reader only),78.8,82.28,0.3,0.0,95.77,0.8,F1
61,1,Question Answering,SQuAD1.1 dev,2017-04,Ruminating Reader,79.5,83.01,0.7,0.01,95.77,0.81,F1
62,1,Question Answering,SQuAD1.1 dev,2017-05,R.M-Reader (single),86.3,90.11,6.8,0.07,95.77,0.88,F1
63,1,Question Answering,SQuAD1.1 dev,2018-10,BERT large (+TriviaQA),91.1,95.12,4.8,0.05,95.77,0.93,F1
64,1,Question Answering,SQuAD1.1 dev,2019-06,XLNet (single model),95.1,99.3,4.0,0.04,95.77,0.97,F1
65,1,Question Answering,SQuAD1.1 dev,2019-10,T5-11B,95.64,99.86,0.5,0.01,95.77,0.97,F1
66,1,Question Answering,SQuAD1.1 dev,2019-11,XLNet+DSC,95.77,100.0,0.1,0.0,95.77,0.97,F1
67,1,Question Answering,SQuAD1.1,2016-08,Match-LSTM with Ans-Ptr (Boundary) (ensemble),77.022,81.01,77.022,0.81,95.08,0.78,F1
68,1,Question Answering,SQuAD1.1,2016-09,ReasoNet (single model),79.364,83.47,2.3,0.02,95.08,0.81,F1
69,1,Question Answering,SQuAD1.1,2016-09,ReasoNet (ensemble),82.552,86.82,3.2,0.03,95.08,0.84,F1
70,1,Question Answering,SQuAD1.1,2017-05,Reinforced Mnemonic Reader (ensemble model),88.533,93.11,6.0,0.06,95.08,0.9,F1
71,1,Question Answering,SQuAD1.1,2018-10,BERT (single model),91.835,96.59,3.3,0.03,95.08,0.93,F1
72,1,Question Answering,SQuAD1.1,2018-10,BERT (ensemble),93.16,97.98,1.3,0.01,95.08,0.95,F1
73,1,Question Answering,SQuAD1.1,2019-06,XLNet (single model),95.08,100.0,1.9,0.02,95.08,0.97,F1
74,1,Question Answering,NewsQA,2017-03,FastQAExt,56.1,76.22,56.1,0.76,73.6,0.57,F1
75,1,Question Answering,NewsQA,2018-01,AMANDA,63.7,86.55,7.6,0.1,73.6,0.65,F1
76,1,Question Answering,NewsQA,2018-11,DecaProp,66.3,90.08,2.6,0.04,73.6,0.67,F1
77,1,Question Answering,NewsQA,2019-07,SpanBERT,73.6,100.0,7.3,0.1,73.6,0.75,F1
78,1,Question Answering,TriviaQA,2017-05,Mnemonic Reader,52.85,63.22,52.85,0.63,83.6,0.54,F1
79,1,Question Answering,TriviaQA,2017-06,Reading Twice for NLU,56.73,67.86,3.9,0.05,83.6,0.58,F1
80,1,Question Answering,TriviaQA,2017-10,S-Norm,71.32,85.31,14.6,0.17,83.6,0.72,F1
81,1,Question Answering,TriviaQA,2018-10,MemoReader,73.26,87.63,1.9,0.02,83.6,0.74,F1
82,1,Question Answering,TriviaQA,2019-07,SpanBERT,83.6,100.0,10.3,0.12,83.6,0.85,F1
83,1,Relation Extraction,NYT,2017-06,NovelTagging,42.0,46.77,42.0,0.47,89.8,0.43,F1
84,1,Relation Extraction,NYT,2018-07,CopyRE MultiDecoder,58.7,65.37,16.7,0.19,89.8,0.6,F1
85,1,Relation Extraction,NYT,2019-07,GraphRel2p,61.9,68.93,3.2,0.04,89.8,0.63,F1
86,1,Relation Extraction,NYT,2019-09,CASREL,89.6,99.78,27.7,0.31,89.8,0.91,F1
87,1,Relation Extraction,NYT,2020-04,REDN,89.8,100.0,0.2,0.0,89.8,0.91,F1
88,1,Relation Extraction,NYT-single,2017-06,NovelTagging,49.5,83.33,49.5,0.83,59.4,0.5,F1
89,1,Relation Extraction,NYT-single,2019-07,PA-LSTM,53.8,90.57,4.3,0.07,59.4,0.55,F1
90,1,Relation Extraction,NYT-single,2019-09,ETL-Span,59.4,100.0,5.6,0.09,59.4,0.6,F1
91,1,Relation Extraction,WebNLG,2017-06,NovelTagging,28.3,29.39,28.3,0.29,96.3,0.29,F1
92,1,Relation Extraction,WebNLG,2018-07,CopyRE MultiDecoder,37.1,38.53,8.8,0.09,96.3,0.38,F1
93,1,Relation Extraction,WebNLG,2019-07,GraphRel2p,42.9,44.55,5.8,0.06,96.3,0.44,F1
94,1,Relation Extraction,WebNLG,2019-09,CASREL,91.8,95.33,48.9,0.51,96.3,0.93,F1
95,1,Relation Extraction,WebNLG,2020-04,REDN,96.3,100.0,4.5,0.05,96.3,0.98,F1
96,1,Emotion Recognition in Conversation,IEMOCAP,2017-07,bc-LSTM+Att,56.19,87.55,56.19,0.88,64.18,0.57,F1
97,1,Emotion Recognition in Conversation,IEMOCAP,2018-10,ICON,58.54,91.21,2.4,0.04,64.18,0.59,F1
98,1,Emotion Recognition in Conversation,IEMOCAP,2019-05,DialogueRNN,62.75,97.77,4.2,0.07,64.18,0.64,F1
99,1,Emotion Recognition in Conversation,IEMOCAP,2019-08,DialogueGCN,64.18,100.0,1.4,0.02,64.18,0.65,F1
100,1,Predicate Detection,CoNLL 2005,2017-07,DeepSRL,96.4,97.97,96.4,0.98,98.4,0.98,F1
101,1,Predicate Detection,CoNLL 2005,2018-04,LISA,98.4,100.0,2.0,0.02,98.4,1.0,F1
102,1,Semantic Role Labeling,OntoNotes,2017-07,He et al.,81.7,93.91,81.7,0.94,87.0,0.83,F1
103,1,Semantic Role Labeling,OntoNotes,2017-12,Tan et al.,82.7,95.06,1.0,0.01,87.0,0.84,F1
104,1,Semantic Role Labeling,OntoNotes,2018-02,"(He et al., 2017) + ELMo",84.6,97.24,1.9,0.02,87.0,0.86,F1
105,1,Semantic Role Labeling,OntoNotes,2018-07,"He et al.,",85.5,98.28,0.9,0.01,87.0,0.87,F1
106,1,Semantic Role Labeling,OntoNotes,2018-10,BiLSTM-Span (Ensemble),87.0,100.0,1.5,0.02,87.0,0.88,F1
107,1,Question Answering,COMPLEXQUESTIONS,2017-07,WebQA,53.6,100.0,53.6,1.0,53.6,0.54,F1
108,1,Sarcasm Detection,SCv1,2017-08,DeepMoji,0.69,100.0,0.69,1.0,0.69,0.01,F1
109,1,Relation Extraction,TACRED,2017-09,PA-LSTM,65.1,91.05,65.1,0.91,71.5,0.66,F1
110,1,Relation Extraction,TACRED,2018-09,GCN + PA-LSTM,67.1,93.85,2.0,0.03,71.5,0.68,F1
111,1,Relation Extraction,TACRED,2018-09,C-GCN + PA-LSTM,68.2,95.38,1.1,0.02,71.5,0.69,F1
112,1,Relation Extraction,TACRED,2019-05,R-BERT,69.4,97.06,1.2,0.02,71.5,0.71,F1
113,1,Relation Extraction,TACRED,2019-06,BERTEM+MTB,71.5,100.0,2.1,0.03,71.5,0.73,F1
114,1,Named Entity Recognition,Long-tail emerging entities,2017-09,SpinningBytes,40.78,81.24,40.78,0.81,50.2,0.41,F1
115,1,Named Entity Recognition,Long-tail emerging entities,2018-06,Aguilar et al.,45.55,90.74,4.8,0.1,50.2,0.46,F1
116,1,Named Entity Recognition,Long-tail emerging entities,2018-08,Flair embeddings,50.2,100.0,4.7,0.09,50.2,0.51,F1
117,1,Question Answering,SQuAD2.0,2017-11,FusionNet++ (ensemble),72.484,77.96,72.484,0.78,92.978,0.74,F1
118,1,Question Answering,SQuAD2.0,2017-12,SAN (ensemble model),73.704,79.27,1.2,0.01,92.978,0.75,F1
119,1,Question Answering,SQuAD2.0,2018-08,Reinforced Mnemonic Reader + Answer Verifier (single model),74.295,79.91,0.6,0.01,92.978,0.76,F1
120,1,Question Answering,SQuAD2.0,2018-10,BERT (single model),83.061,89.33,8.8,0.09,92.978,0.84,F1
121,1,Question Answering,SQuAD2.0,2019-06,XLNet (single model),90.689,97.54,7.6,0.08,92.978,0.92,F1
122,1,Question Answering,SQuAD2.0,2019-08,XLNet + SG-Net Verifier (ensemble),90.702,97.55,0.0,0.0,92.978,0.92,F1
123,1,Question Answering,SQuAD2.0,2019-09,ALBERT (ensemble model),92.215,99.18,1.5,0.02,92.978,0.94,F1
124,1,Question Answering,SQuAD2.0,2020-01,Retro-Reader (ensemble),92.978,100.0,0.8,0.01,92.978,0.94,F1
125,1,Sentence Classification,SciCite,2018-01,Feature-Rich Random Forest,79.6,93.76,79.6,0.94,84.9,0.81,F1
126,1,Sentence Classification,SciCite,2018-10,BERT,84.4,99.41,4.8,0.06,84.9,0.86,F1
127,1,Sentence Classification,SciCite,2019-03,SciBERT,84.9,100.0,0.5,0.01,84.9,0.86,F1
128,1,Citation Intent Classification,SciCite,2018-01,Feature-Rich Random Forest,79.6,93.66,79.6,0.94,84.99,0.81,F1
129,1,Citation Intent Classification,SciCite,2019-03,SciBERT,84.99,100.0,5.4,0.06,84.99,0.86,F1
130,1,Sentence Classification,ACL-ARC,2018-01,Random Forest,53.0,78.06,53.0,0.78,67.9,0.54,F1
131,1,Sentence Classification,ACL-ARC,2019-03,SciBERT (Base Vocab),65.79,96.89,12.8,0.19,67.9,0.67,F1
132,1,Sentence Classification,ACL-ARC,2019-04,Structural-scaffolds,67.9,100.0,2.1,0.03,67.9,0.69,F1
133,1,Entity Linking,WebQSP-WD,2018-04,VCG,0.73,100.0,0.73,1.0,0.73,0.01,F1
134,1,Predicate Detection,CoNLL 2012,2018-04,LISA,97.2,100.0,97.2,1.0,97.2,0.99,F1
135,1,Semantic Role Labeling,CoNLL 2005,2018-04,LISA,86.04,97.22,86.04,0.97,88.5,0.87,F1
136,1,Semantic Role Labeling,CoNLL 2005,2018-10,BiLSTM-Span (Ensemble),88.5,100.0,2.5,0.03,88.5,0.9,F1
137,1,Chinese Named Entity Recognition,OntoNotes 4,2018-05,Lattice,73.88,87.46,73.88,0.87,84.47,0.75,F1
138,1,Chinese Named Entity Recognition,OntoNotes 4,2019-10,BERT-MRC,82.11,97.21,8.2,0.1,84.47,0.83,F1
139,1,Chinese Named Entity Recognition,OntoNotes 4,2019-11,BERT-MRC+DSC,84.47,100.0,2.4,0.03,84.47,0.86,F1
140,1,Chinese Named Entity Recognition,MSRA,2018-05,Lattice,93.18,96.34,93.18,0.96,96.72,0.95,F1
141,1,Chinese Named Entity Recognition,MSRA,2019-01,Glyce + BERT,95.54,98.78,2.4,0.02,96.72,0.97,F1
142,1,Chinese Named Entity Recognition,MSRA,2019-10,BERT-MRC,95.75,99.0,0.2,0.0,96.72,0.97,F1
143,1,Chinese Named Entity Recognition,MSRA,2019-11,BERT-MRC+DSC,96.72,100.0,1.0,0.01,96.72,0.98,F1
144,1,Chinese Named Entity Recognition,Weibo NER,2018-05,Lattice,58.79,86.97,58.79,0.87,67.6,0.6,F1
145,1,Chinese Named Entity Recognition,Weibo NER,2019-01,Glyce + BERT,67.6,100.0,8.8,0.13,67.6,0.69,F1
146,1,Chinese Named Entity Recognition,Resume NER,2018-05,Lattice,94.46,97.85,94.46,0.98,96.54,0.96,F1
147,1,Chinese Named Entity Recognition,Resume NER,2019-01,Glyce + BERT,96.54,100.0,2.1,0.02,96.54,0.98,F1
148,1,Word Sense Disambiguation,SemEval 2015 Task 13,2018-05,GASext (Concatenation),72.6,87.89,72.6,0.88,82.6,0.74,F1
149,1,Word Sense Disambiguation,SemEval 2015 Task 13,2018-11,"SemCor+WNGT, vocabulary reduced, ensemble",74.46,90.15,1.9,0.02,82.6,0.76,F1
150,1,Word Sense Disambiguation,SemEval 2015 Task 13,2019-05,"SemCor+WNGC, hypernyms",82.6,100.0,8.1,0.1,82.6,0.84,F1
151,1,Named Entity Recognition,CoNLL 2000,2018-05,SWEM-CRF,90.34,100.0,90.34,1.0,90.34,0.92,F1
152,1,Paraphrase Identification,MSRP,2018-05,SWEM-concat,81.3,100.0,81.3,1.0,81.3,0.83,F1
153,1,Question Answering,CliCR,2018-06,Gated-Attention Reader,33.9,100.0,33.9,1.0,33.9,0.34,F1
154,1,Named Entity Recognition,GENIA,2018-06,Neural layered model,74.7,89.19,74.7,0.89,83.75,0.76,F1
155,1,Named Entity Recognition,GENIA,2018-10,Neural segmental hypergraphs,75.1,89.67,0.4,0.0,83.75,0.76,F1
156,1,Named Entity Recognition,GENIA,2019-07,seq2seq+BERT+Flair,78.31,93.5,3.2,0.04,83.75,0.8,F1
157,1,Named Entity Recognition,GENIA,2019-10,BERT-MRC,83.75,100.0,5.4,0.06,83.75,0.85,F1
158,1,Named Entity Recognition,ACE 2005,2018-06,Neural layered model,72.2,83.1,72.2,0.83,86.88,0.73,F1
159,1,Named Entity Recognition,ACE 2005,2018-10,Neural segmental hypergraphs,74.5,85.75,2.3,0.03,86.88,0.76,F1
160,1,Named Entity Recognition,ACE 2005,2019-06,Anchor-Region Networks,74.9,86.21,0.4,0.0,86.88,0.76,F1
161,1,Named Entity Recognition,ACE 2005,2019-06,MGNER,78.2,90.01,3.3,0.04,86.88,0.79,F1
162,1,Named Entity Recognition,ACE 2005,2019-06,Merge and Label,82.4,94.84,4.2,0.05,86.88,0.84,F1
163,1,Named Entity Recognition,ACE 2005,2019-07,seq2seq+BERT+Flair,84.33,97.06,1.9,0.02,86.88,0.86,F1
164,1,Named Entity Recognition,ACE 2005,2019-10,BERT-MRC,86.88,100.0,2.5,0.03,86.88,0.88,F1
165,1,Nested Mention Recognition,ACE 2005,2018-06,Neural layered model,72.2,83.1,72.2,0.83,86.88,0.73,F1
166,1,Nested Mention Recognition,ACE 2005,2018-10,Neural segmental hypergraphs,74.5,85.75,2.3,0.03,86.88,0.76,F1
167,1,Nested Mention Recognition,ACE 2005,2019-06,Anchor-Region Networks,74.9,86.21,0.4,0.0,86.88,0.76,F1
168,1,Nested Mention Recognition,ACE 2005,2019-06,MGNER,78.2,90.01,3.3,0.04,86.88,0.79,F1
169,1,Nested Mention Recognition,ACE 2005,2019-06,Merge and Label,82.4,94.84,4.2,0.05,86.88,0.84,F1
170,1,Nested Mention Recognition,ACE 2005,2019-08,seq2seq+BERT+Flair,84.33,97.06,1.9,0.02,86.88,0.86,F1
171,1,Nested Mention Recognition,ACE 2005,2019-10,BERT-MRC,86.88,100.0,2.5,0.03,86.88,0.88,F1
172,1,Nested Named Entity Recognition,GENIA,2018-06,Neural layered model,74.7,89.19,74.7,0.89,83.75,0.76,F1
173,1,Nested Named Entity Recognition,GENIA,2018-10,Neural segmental hypergraphs,75.1,89.67,0.4,0.0,83.75,0.76,F1
174,1,Nested Named Entity Recognition,GENIA,2019-08,seq2seq+BERT+Flair,78.31,93.5,3.2,0.04,83.75,0.8,F1
175,1,Nested Named Entity Recognition,GENIA,2019-10,BERT-MRC,83.75,100.0,5.4,0.06,83.75,0.85,F1
176,1,Multimodal Emotion Recognition,IEMOCAP,2018-06,CHFusion (A+T+V),0.768,100.0,0.768,1.0,0.768,0.01,F1
177,1,Open-Domain Question Answering,SearchQA,2018-07,Denoising QA,64.5,76.06,64.5,0.76,84.8,0.66,F1
178,1,Open-Domain Question Answering,SearchQA,2019-07,SpanBERT,84.8,100.0,20.3,0.24,84.8,0.86,F1
179,1,Dependency Parsing,GENIA,2018-08,BiLSTM-CRF,91.92,100.0,91.92,1.0,91.92,0.93,F1
180,1,Dependency Parsing,GENIA,2018-08,BiLSTM-CRF,92.84,100.0,92.84,1.0,92.84,0.94,F1
181,1,Question Answering,SQuAD2.0 dev,2018-08,RMR + ELMo (Model-III),74.8,82.56,74.8,0.83,90.6,0.76,F1
182,1,Question Answering,SQuAD2.0 dev,2018-10,BERT large,81.9,90.4,7.1,0.08,90.6,0.83,F1
183,1,Question Answering,SQuAD2.0 dev,2019-06,XLNet (single model),90.6,100.0,8.7,0.1,90.6,0.92,F1
184,1,Sentence Classification,PubMed 20k RCT,2018-08,Hierarchical Neural Networks,92.6,100.0,92.6,1.0,92.6,0.94,F1
185,1,Named Entity Recognition,JNLPBA,2018-09,CollaboNet,78.58,100.0,78.58,1.0,78.58,0.8,F1
186,1,Named Entity Recognition,BC5CDR,2018-09,CollaboNet,87.12,96.88,87.12,0.97,89.93,0.89,F1
187,1,Named Entity Recognition,BC5CDR,2019-03,SciBERT (SciVocab),88.94,98.9,1.8,0.02,89.93,0.9,F1
188,1,Named Entity Recognition,BC5CDR,2019-08,BioFLAIR,89.42,99.43,0.5,0.01,89.93,0.91,F1
189,1,Named Entity Recognition,BC5CDR,2019-11,NER+PA+RL (PubMed),89.93,100.0,0.5,0.01,89.93,0.91,F1
190,1,Chinese Named Entity Recognition,SighanNER,2018-10,BiLSTM+CRF+adversarial+self-attention,90.64,100.0,90.64,1.0,90.64,0.92,F1
191,1,Nested Named Entity Recognition,ACE 2004,2018-10,Neural segmental hypergraphs,75.1,87.35,75.1,0.87,85.98,0.76,F1
192,1,Nested Named Entity Recognition,ACE 2004,2019-06,MGNER,79.5,92.46,4.4,0.05,85.98,0.81,F1
193,1,Nested Named Entity Recognition,ACE 2004,2019-08,seq2seq+BERT+Flair,84.4,98.16,4.9,0.06,85.98,0.86,F1
194,1,Nested Named Entity Recognition,ACE 2004,2019-09,Second-best learning and decoding,84.97,98.83,0.6,0.01,85.98,0.86,F1
195,1,Nested Named Entity Recognition,ACE 2004,2019-10,BERT-MRC,85.98,100.0,1.0,0.01,85.98,0.87,F1
196,1,Named Entity Recognition,ACE 2004,2018-10,Neural segmental hypergraphs,75.1,87.35,75.1,0.87,85.98,0.76,F1
197,1,Named Entity Recognition,ACE 2004,2019-06,MGNER,79.5,92.46,4.4,0.05,85.98,0.81,F1
198,1,Named Entity Recognition,ACE 2004,2019-07,seq2seq+BERT+Flair,84.4,98.16,4.9,0.06,85.98,0.86,F1
199,1,Named Entity Recognition,ACE 2004,2019-09,Second-best learning and decoding,84.97,98.83,0.6,0.01,85.98,0.86,F1
200,1,Named Entity Recognition,ACE 2004,2019-10,BERT-MRC,85.98,100.0,1.0,0.01,85.98,0.87,F1
201,1,Nested Mention Recognition,ACE 2004,2018-10,Neural segmental hypergraphs,75.1,87.35,75.1,0.87,85.98,0.76,F1
202,1,Nested Mention Recognition,ACE 2004,2019-06,MGNER,79.5,92.46,4.4,0.05,85.98,0.81,F1
203,1,Nested Mention Recognition,ACE 2004,2019-08,seq2seq+BERT+Flair,84.4,98.16,4.9,0.06,85.98,0.86,F1
204,1,Nested Mention Recognition,ACE 2004,2019-09,Second-best learning and decoding,84.97,98.83,0.6,0.01,85.98,0.86,F1
205,1,Nested Mention Recognition,ACE 2004,2019-10,BERT-MRC,85.98,100.0,1.0,0.01,85.98,0.87,F1
206,1,Question Answering,QuAC,2018-10,FlowQA (single model),64.1,100.0,64.1,1.0,64.1,0.65,F1
207,1,Slot Filling,SNIPS,2018-12,Capsule-NLU,0.918,99.53,0.918,1.0,0.9223,0.01,F1
208,1,Slot Filling,SNIPS,2019-06,SF-ID,0.9223,100.0,0.0,0.0,0.9223,0.01,F1
209,1,Slot Filling,ATIS,2018-12,Capsule-NLU,0.952,99.37,0.952,0.99,0.958,0.01,F1
210,1,Slot Filling,ATIS,2019-06,SF-ID,0.958,100.0,0.0,0.0,0.958,0.01,F1
211,1,Relation Extraction,ChemProt,2019-01,BioBERT,76.46,100.0,76.46,1.0,76.46,0.78,F1
212,1,Named Entity Recognition,NCBI-disease,2019-01,BioBERT,89.71,100.0,89.71,1.0,89.71,0.91,F1
213,1,Chinese Word Segmentation,MSR,2019-01,Glyce + BERT,98.3,99.95,98.3,1.0,98.35,1.0,F1
214,1,Chinese Word Segmentation,MSR,2019-11,ZEN (Init with Chinese BERT),98.35,100.0,0.0,0.0,98.35,1.0,F1
215,1,Chinese Word Segmentation,AS,2019-01,Glyce + BERT,96.7,100.0,96.7,1.0,96.7,0.98,F1
